,full_text
0,case be not sure open essential business still open six day per week current lockdown safeguard place belfasthour
1,road dallas snowy icy government tell stay home might die infringe
2,anyway reason trap trauma response right grief physical fear pandemic trauma put animal brain logic pattern cognition almost inaccessible here what s
3,fema talk philadelphia open mass vaccination site city dose coronavirus vaccin
4,wil make fabulously gay
5,go legacy covid longcovid do not know size yet
6,nursing home could demand covid negative test let back nursing home citizen travel test get back new york state
7,you re kid right
8,lol wait till covid lol
9,time writersbloc amp bluejay spring training wethenorth buffalo sa
10,resign asshole
11,covid quarantine hotel chaos red list safe country passenger
12,recommendation make preferred use medical nonmedical face mask community nonmedic
13,kevin black bossy city louisiana die covid jan beloved high school football coach
14,I d actually rather lockdown continue last strictly may mean get uninterrupted summer can not make
15,parent child struggle financially amid pandemic pbs newshour want hear yo
16,break boris refuses rule fourth lockdown
17,go to standard response anyone call moron antivaxxer coviddenier selfish farright racist cisgender etc etcit save time
18,surgery
19,seat still available inaugural free calm conference group view encour
20,transport florida mabye georgia time time alabama
21,stink
22,today publish third report economic impact coronavirus call gap support economic ana
23,can not put make stay home issa waste
24,washington state department commerce give federal covid relief tax dollar nonprofit pursue radical political
25,united covid cooperation respect rule international law collaboration defend peace security democracy human right life climate secure world order without escalate tension stop terrorism insurgent conflict
26,few individual receive second dose pfizer vaccine contract week
27,one way another actually oppressive esp student underprivileged amp handicapped pand
28,day australia close border day new zealand day taiwan
29,go daughter old school pick material single teacher staff student mask imag
30,care side effect lockdown claim act minimise way make
31,stay active halfterm traveltotokyo programme explore range olympicinspire activit
32,I m doctor incredibly worried be not go release lockdown carefullythose we
33,china get money worth they re get money worth
34,do not know anyone severe effect covid lockdown scare mongering
35,second impeachment fresh mind trump remove first impeachment even pence pre
36,see pre covid child suffer pan panda rare condition rarely recognize amp diagnose due ignor
37,wear mask must raid eyed soonkuwait mask facemask coronavirushttpstcobpwhgkvqyc
38,tapper biden cdc head school you re demand thing never go able achieve
39,anyone look apply aid program start information
40,read lift woman lift family lift community society benefit true united state around globe httpstcovgkaoqhaej
41,break news palestinepalestinian minister health mai alkaileh say israeli occupation authority block
42,sorry death friend interest fairness bore responsibility prevent infection society may suggest nuanced allocation blame less moral indignation
43,break medium learn effective mean
44,people die chinese virus racist refer chinese even though begin china li
45,I m sure enough stain remover permanent marker signature may come still great shirt great club get involve people
46,everyone
47,point stay home
48,people naive accept anything lie govt tell part propaganda programme
49,governor texas tell texans stay home risky go let sink
50,feel like I m yell void cancel culture political correctness new age
51,exhaust thing covid watch people bitch moan want get back normal without
52,cross picket buy fast food strike complete
53,else wants see kevin mccarthy defeat end lie vote mail end lie pandemic
54,global case top case death johns hopkins university
55,care side effect lockdown claim act minimise way make
56,must proper forensic investigation lab leak hypothesis likely explanation origin
57,you ve feel weather lately you re alone heres pandemic take heavy mental toll e
58,biden join virtual event effort combat february
59,dr anthony fauci recognize work israeldonald trump got steal land name himbfd
60,discontinue type man true pandemic
61,almost every day get news hack demand know lock end crystal ball
62,home looool else lockdown
63,watch another speech put hour ago look mile well tired pasty
64,god see texans take corona serious say know exactly make sit inside
65,people test positive killing across country
66,due covid good girl have not see hooman monthshttpstcozwcdodifsz
67,one bright star trump nothing coronavirus policy
68,hey texas especially do not take freedom lovershere message snowflake main stream media hoax stay hometedcruz socialist hand outplease socialisttoo please help we mr president tomthunkitsmind
69,say repeated population wide testing work do public health screening repeatedly slow virus
70,governor texas tell texans stay home risky go let sink
71,they ve monitor case lock amp there s noticeable transmission child
72,awareness ncdc launch campaign
73,update power look like roll blackout expect well lack internet go pure ice
74,arteta have not luxury able ease saka like foden city domestic start since beginn
