,created_at,full_text,sentiment_score
0,2021-02-10 11:59:54+00:00,many country start vaccinate world bank income group low income lower,0.25
1,2021-02-10 11:59:54+00:00,bbc news uk covid soon book holiday minister warn,0.0
2,2021-02-10 11:59:54+00:00,funny worried covid sudden deny almost year maybe stick post,0.125
3,2021-02-10 11:59:54+00:00,resistance alive,0.1
4,2021-02-10 11:59:54+00:00,cocacola earning top estimate cost cutting offset pandemic blow sale,-0.04999999999999999
5,2021-02-10 11:59:55+00:00,cleric iran suffer lack knowledge humanity,0.0
6,2021-02-10 11:59:55+00:00,I m black trans woman income due I m reliant donation pay rent food mutualai,-0.14583333333333331
7,2021-02-10 11:59:55+00:00,current success rate project grant sit around understand demand open access fund,0.09999999999999999
8,2021-02-10 11:59:55+00:00,important announcement vaccination age,0.4
9,2021-02-10 11:59:55+00:00,go away april heat,0.0
10,2021-02-10 11:59:55+00:00,johnsons ambition elect london mayor don liberal cosmopolitan credential revisiti,0.4
11,2021-02-10 11:59:55+00:00,grandprairie irving launch vaccination site texas,0.0
12,2021-02-10 11:59:55+00:00,sister salma raise money uncle die covid leave behind child may allah widen,-0.4
13,2021-02-10 11:59:55+00:00,dominica pm covid vaccinei must confess do not imagine prayer country would ve answer swiftlybe,0.0
14,2021-02-10 11:59:55+00:00,good,0.7
15,2021-02-10 11:59:55+00:00,jurgen klopps year old mother elisabeth sadly pass away will not able attend funeral germany due,-0.19375
16,2021-02-10 11:59:55+00:00,black poc family do not get reimburse study come show favor money distribute white fam,-0.08333333333333333
17,2021-02-10 11:59:55+00:00,absolutely heartbreaking,0.2
18,2021-02-10 11:59:55+00:00,cdc expose inflate covid death throughout election violate multiple federal law peerreviewed study fi,0.0
19,2021-02-10 11:59:55+00:00,country early prediction accurate particularly have not experience global pandemic year like number influence whether government successful implement countermeasure,0.2833333333333333
20,2021-02-10 11:59:56+00:00,absolute crock shot rest waytake stay home two optionseven karen shut roll sleeve mean keep job,-0.056249999999999994
21,2021-02-10 11:59:56+00:00,jurgen klopps year old mother elisabeth sadly pass away will not able attend funeral germany due,-0.19375
22,2021-02-10 11:59:56+00:00,put aside offensive compare lockdown nazi germany julia give huge would keep light,0.4
23,2021-02-10 11:59:56+00:00,go away april heat,0.0
24,2021-02-10 11:59:56+00:00,dominica pm covid vaccinei must confess do not imagine prayer country would ve answer swiftlybe,0.0
25,2021-02-10 11:59:56+00:00,absolute cruelty covid right,0.24285714285714285
26,2021-02-10 11:59:56+00:00,link new set symptom accord study million people,0.13636363636363635
27,2021-02-10 11:59:56+00:00,dear love go home you re specialsignedamericaps stay home do not ever vote,0.5
28,2021-02-10 11:59:56+00:00,useful unless unable access internet savvy sure lot alternative help,0.09999999999999999
29,2021-02-10 11:59:56+00:00,risk coronavirus transmission share sport equipment low thought study suggest boost hope,0.0
30,2021-02-10 11:59:56+00:00,proud finalist year award speak volume able achieve support community pandemic look forward continue work future say ceo deven pillay,0.43333333333333335
31,2021-02-10 11:59:56+00:00,it ll new way get paper publish grant application approve datum quality issue new pandemic vaccine security pandemic,0.13636363636363635
32,2021-02-10 11:59:56+00:00,welcome delivery dose vaccine afg india express gratitude gov amp people,0.8
33,2021-02-10 11:59:57+00:00,devastating news jurgen klopp mother elisabeth die age will not able travel germany,-0.625
34,2021-02-10 11:59:57+00:00,nursing home death uk high they ve since midmay british health care official say th,0.08
35,2021-02-10 11:59:57+00:00,go melbourne week ago one person may covid you re ban enter south australia can not make stuff covidaus,0.0
36,2021-02-10 11:59:57+00:00,jakub vrana nhls list washington player list,0.0
37,2021-02-10 11:59:57+00:00,usually big family gather lunar new year mom amp make traditional jeon differ,0.04545454545454545
38,2021-02-10 11:59:57+00:00,world postcovid turn different time remain isolate global trend co,0.0
39,2021-02-10 11:59:57+00:00,happen procurement less effective expire vaccine believe ability govern,0.21666666666666667
40,2021-02-10 11:59:57+00:00,journalist feel pain former business ownerfirst I m sorry loss business share dismay pandemic I ve lock month miss friend much,-0.09999999999999999
41,2021-02-10 11:59:57+00:00,datum industry change face world machinelearning deeplearning data datascience flutter serverless iot innovation devop aiops dataops entrepreneur technology startup digital business tech future,0.0
42,2021-02-10 11:59:57+00:00,roisin shortall infuriating hear taoiseach talk cautious conservative that s last thing,-0.3
43,2021-02-10 11:59:57+00:00,manish tewari say stay protect corona god grace I d like say something indeed god grace,0.0
44,2021-02-10 11:59:57+00:00,year ago today death ago disgrace twice impeach person,0.0
45,2021-02-10 11:59:57+00:00,do not get see grandparent christmas anyone tell could not study spread gathering do not seem safe miss restaurant bar return still pay check,0.5
46,2021-02-10 11:59:57+00:00,child need pandemic children centre playgroup youth club sport club swimming musi,0.0
47,2021-02-10 11:59:57+00:00,head expert mission investigate origin coronavirus pandemic wuhan china say ext,0.0
48,2021-02-10 11:59:57+00:00,low risk combine wear mask clean keep physical distance,0.12222222222222223
49,2021-02-10 11:59:57+00:00,family europe handle remotelearne lockdown last springour report ital,0.0
50,2021-02-10 11:59:57+00:00,year ago today death ago disgrace twice impeach person,0.0
51,2021-02-10 11:59:57+00:00,need deal poverty amp deprivation amp associate health inequality privileged profess,0.0
52,2021-02-10 11:59:58+00:00,join call everyone able access coronavirus vaccine regardless immigrat,0.5
53,2021-02-10 11:59:58+00:00,link new set symptom accord study million people,0.13636363636363635
54,2021-02-10 11:59:58+00:00,new report shine light devastating financial impact pandemic woman expert fear could take,-0.1159090909090909
55,2021-02-10 11:59:58+00:00,new variantnew california variant recently find half sample los angeles case,-0.010101010101010102
56,2021-02-10 11:59:58+00:00,aais shimla helicopter movement rcsudan start every month reach new height,0.13636363636363635
57,2021-02-10 11:59:58+00:00,precovid subway air pollute dc vaccination,0.0
58,2021-02-10 11:59:58+00:00,ministry health award airport testing contract wow,0.1
59,2021-02-10 11:59:58+00:00,massive capacity building exercise ahead vaccination roll people year govt increase inoculation site couple wks say dr nk arora headops research group natl task force,0.0
60,2021-02-10 11:59:58+00:00,year ago today death ago disgrace twice impeach person,0.0
61,2021-02-10 11:59:58+00:00,fake news headline read fine print deal return school mostly,0.1388888888888889
62,2021-02-10 11:59:58+00:00,prime minister thank doctor nurse covid warrior safai karamcharis drive ambulance,0.0
63,2021-02-10 11:59:58+00:00,expose huge amount information daily basis reliable saferi,0.20000000000000004
64,2021-02-10 11:59:58+00:00,exercise jail people lie potentially bring strain covid back u,-0.03333333333333333
65,2021-02-10 11:59:59+00:00,russia confirm mln case since start pandemic,0.0
66,2021-02-10 11:59:59+00:00,child need pandemic children centre playgroup youth club sport club swimming musi,0.0
67,2021-02-10 11:59:59+00:00,dominica pm covid vaccinei must confess do not imagine prayer country would ve answer swiftlybe,0.0
68,2021-02-10 11:59:59+00:00,valentine day outfit perfect love lockdown matter you ve got plan anin,0.75
69,2021-02-10 11:59:59+00:00,covid case double digit amp death due covid bjp model governance populas state indi,-0.0625
70,2021-02-10 11:59:59+00:00,love,0.5
71,2021-02-10 11:59:59+00:00,coronaviru end coworke space cre coworke httpstcoksvvoamymw,0.0
72,2021-02-10 11:59:59+00:00,suffer chronic headache migrainesdr mees host live inperson workshop exclusively headache covid safety event limit guest sign today,0.13636363636363635
73,2021-02-10 11:59:59+00:00,here approach catchup that s strategic longterm make success lockdown period build blo,0.3
74,2021-02-10 11:59:59+00:00,new variantnew california variant recently find half sample los angeles case,-0.010101010101010102
75,2021-02-10 11:59:59+00:00,dubaipolicehq cooperation issue fine organizer private yacht part,0.20833333333333334
76,2021-02-10 11:59:59+00:00,adventure boundless there s threshold cross different limit expectation,-0.06666666666666667
