,full_text
0,hi need help do not take pride crowdsourcing hopefully will not ever detail
1,rise parade cancel due
2,stay home stay healthy
3,government first month lockdown south africa
4,president rouhani blast we prevent irans access coronavirus
5,fellow kenyanys nyali beach mombasa day today family send child school
6,huang xiaoyun post picture puzzle girl christmas last year handong comment really miss
7,think look pretty good natural immunity yr pandemic mill confirm case less handful confirm reinfection
8,soldier delhi republic day parade test positive
9,sa great
10,wave engulf prison belarus pack people custody demonstrate nati
11,president congress celebrate christmas million americans set lose unemployment aid tomorrow
12,virus scam complicated beast
13,boldfit mask face pack anti pollution protective third party test manufacturer sgs amp ministry textile
14,save world right thank trump we covid death far free country even adjust population difference
15,christian nation get together christmas eve discuss increase aid pandemic decide
16,wait till you all find hospital allow staff come covid positive long they re exhi
17,pm do night without natural lightpm do without covid testno time death mention postpartum reportno
18,launch addl ct scan crore knowledge sharing session abt covid management
19,cbss actor shemar moore contract
20,excellent founder greatbarringtondeclaration say survive covid th
21,be not naive little child think something felony do not happen amp rich amp powerful like corrupt career politician do not get away can not get anyone kung flu day amp bad cold
22,know late know be not many tonight I m struggle nephew catch covid preschool
23,today start turn page difficult year vaccine deliver eu country vacci
24,doctor poland spend whole christmas eve night covid test lorrydriver one lorry another
25,indiafightscorona increase gap recover amp active case india june december
26,know statistic till date ampu know vaccine till dateu compare year previous year pandemic situation arise fareu want revenue way late fee interest etc do not extend due date amp do not compare
27,important continue basic wash hand keep distance wear face cover restriction order keep top rememberhand face space thank help we keeplondonsafe
28,scientist trial new drug could provide instant immunity covid
29,pity virus will not mutate form kill politician corrupt msm employee
30,happy boxing day everyone football follow party oh hang bloody
31,risk health life
32,fuck covid miss nice drunk girl bathroom
33,new long overdue I ve update excess death datum expand list country track millio
34,war please stay safe amp stay home must go please observe strictly safe distancin
35,happy christmas everybody want something cap fuckin kookoo bananas year can not cure coronavi
36,quarter economic decline start lead recession bjp plan blame corona also
37,first time since outbreak zero positive case report mumbais dharavi today
38,one benefit covidi do not think covid u would achieve number
39,two minute passport check cause five mile queue min covid test cause mayhem gridlock what s custom p
40,want noticed effort I ve put account tough year covid see firsthand affect family people hospital student nhs christmaswithplt
41,americans hospitalize tonightim grateful everyone take care love one
42,one safe we include poor country safe greed seem keep we end pandemic fightinequality
43,say dum dum believe cdc gospel
44,fuck covid miss nice drunk girl bathroom
45,know there s nothing worry
46,get per month since pandemic start like country would
47,long beachi need lady picture member church day ago go medical facility near
48,exactly michael country mourn death due pandemic inept corrupt handli
49,stay mad less month that s able sit home eat bucket chicken yelling enabler would not help commit sedition lawyer get disbar
50,can not wait extended lockdown xmas amp nye gathering start number daily covid case
51,corona winter session parliamenthe raam
52,difficult year tourism amp hospitality failte irelands support hub range practical support available tourism business accesslearn
53,carry rapid mass test coronavirus today atklinger hallsouthgate librarykempe hallbrigadi need book detail entrance klinger hall tricky find please see map attach
54,dundee coronavirus protection level rest mainland scotland high level restriction important familiarise follow rule prevent spread
55,do not invite coronavirus home christmas
56,you re head exercise today please bear mind case coronavirus high across camden londonstay anyone do not live withtry avoid busy area wear face cover busy outdoor space unless exemptthank
57,never end first mask do not work mask always work first can not spread via aerosol primaril
58,different type symptom
59,million way carlisle help give high street boostthe citys receive funding government scheme help business recover coronavirus pandemic
60,matter coronavirus change mean vaccine effectiveness
61,icymi physician say repeatedly ask medication scan routine check admit
62,world health organization talk town
63,revise local covid restriction apply today escalate tier please follow new guideline keep everyone safe staysafe
64,everyone brent get free test even have not get symptom getteste even feel well people show symptom book test
65,even boxing day least one symptomshigh temperaturenew continuous coughloss change sense smell tastebook test call must stay home get
66,morning government move bristol tier need keep bit keep one another safeon week call support government rather uncertainty info tier
67,coronavirus love csa crowd placeclose contactconfine spacesif you re shop boxing day stay safe keep distance wear face cover unless exempt washing hand
68,extra extra read first box vaccine arrive spain history make yomevacuno pero hay otro que tienen dudas
69,break fresh kiwi test positive covid politician call lockdown nature stop spread
70,pm modis minimum government maximum governance demonetisation ii unemployment iii
71,new important advice follow regard coronavirus restrictionstake note please stay safe christmas pnecet pnefc
72,death toll coronavirus iran reach baghdadpost
73,sydneysider brace stayathome new year eve decision citys festivity make
74,need help shropshire telford amp wrekin nhs currently recruit variety role help deliver vaccination programme want join we fight back apply
75,late article dg address importance vaccination campaign healthcare professional role tackle pandemic vaccine confidence vaccinesworkhttpstconitezukzos
76,covid case india case test india bot
77,throwback first lockdown desperate football get back choose bundesliga team support feel like long ago time feel like yesterday strange time
78,wolf block player go supermarket bid reduce risk contracting coronavirus
79,we role play stop spread coronavirus however choose continue christmas festivity year please safely
80,start monday we require anyone fly uk test negative hour departure we center disease control prevention say passenger must provide airline documentation test result
81,another new variant novel coronavirus seem emerge nigeria head africas disease control body say caution investigation neededhttpstcogsfhfelsgy
82,we factory crank good much pandemic rate remarkably close normalhowever manufacturer concern may able keep
83,picture get well
84,good reminder cdc help prevent spread germ disease throughout year time pandemic keephandsclean prevention
85,mauritius ban traveller south africa united kingdom past day due new variant detect country
86,today edinburgh go covid protection level protect other keep date can not dodownload gt staysafe
87,guidance referee guide referee return grassroots football please remember anyone return football feel right everyone health wellbeing safety priority
88,new stay cosy home festive season selina recycle fleece craft recycled polyester we ve give outerwear elegant upgrade shop new sustainable style sustainablefashion
89,come todays game vs please take moment read important covid information safe remember hand face space
90,infection surge control los angeles county official investigate potential spread new contagious
91,people cheshire covid vaccination service available near early new year nhs contact right time come forward
92,top tip look lockdown special
93,coronavirus lockdown measure change lot different way have not alter basic human
94,pete reflect
95,yara group give non management worker worldwide corona bonus
96,bulacan post high increase case new infection december
97,overcome covid vaccine hesitancy try truth trust messenger shot health news npr
98,south korea brace third wave daily covid case hit new high
99,policy brief show importance sustainable land use recover propose policy recommendation buildbackbetter take look
100,fighting stigma coronavirus ireland six month vaccine bring significant change taoiseach say end january health system deliver three vaccine promote story mr martin say first six month
101,current condition sayre patemp chill point barometer inhgwind mph wswcorona virus weekly statscase nepa bradfordcounty
102,peta credlin australians deserve feel measure quiet pride year draw close still need answer state deal
103,china overtake united states become world big economy five year early previously estimate due contrast recovery two country pandemic think tank say
104,excellent founder greatbarringtondeclaration say survive covid th
105,world celebrate unusual christmas
106,throwback last september supporter share message hope young people struggle
107,pope francis make christmas day plea authority make vaccine available insist first
108,join we annual arc industry forum learn industry leader transform operation arcforum digitaltransformation manufacturing industry smartcitie supplychain register today
109,oxford vaccine stimulate broad antibody cell function study
110,cuddledown dreamstead synthetic alternative sleeping pillow stayhome
111,mays image available move home permissible loc
112,fantastic way keep touch grandparent current lockdown send lovedone talk photo album orderyour use photo record message talk dementiasupport dementia alzheimers
113,black doctor indiana dies publicly complain racist treatment hospital
