Unnamed: 0,full_text,sentiment_score
0,ipad stockpile icu end life goodbye something steve job foresee ht,0.0
1,do not want hear gotdamn thing congress fail anything covid reliefthis mitch mcco,-0.5
2,boris lie love mali,0.5
3,pfizer vaccine cause fatigue headache muscle pain chill joint pain,0.0
4,saddening hear kid need socialize shut school far bad covid complete b,-0.16666666666666663
5,daily update publish state report million test case death people,0.0
6,guy accent bad covid,-0.6999999999999998
7,dr fauci agent drive work stay make sure nobody try break home ste,0.5
8,I m postcovid never breathe problem sensor home wrist one cheap nowim sure they re give breathing exercise say helpful fend worststudie show helpfulness vitamin dpraying,0.45
9,record americans die yesterday mean pandemic fatality occur,-0.3125
10,bomb covid,0.0
11,leadership stayhomesavelive,0.0
12,director national intelligence john ratcliffe state senior leader within chinese communist party includ,0.0
13,say santa covid,0.0
14,day really six month long day real life someone conversion,0.11666666666666668
15,every new covidpositive patient speak today spend time friend family thanksgiving travel,0.13636363636363635
16,today north carolina new covid case high percent positive must get number pe,0.17454545454545456
17,california stepping help everyone form direct payment time california take carr people,0.1
18,probably good result could get least international market covid mostly control still see cinema film delay mere week release,0.07999999999999999
19,try read law contradict bogus claim get people less covid relief quest,-0.16666666666666666
20,wow literally fd pic heartbreaking amp truly disturbing depiction current reality,-0.13333333333333333
21,director national intelligence john ratcliffe tell chinas president communist party leader lie,0.0
22,profit knowledge term,0.0
23,joe biden say ask americans commit day wear mask one first act president stop,0.25
24,philadelphia priest die participate moderna covid vaccine trial,0.0
25,idiot,-0.8
26,we covid update number new case hit alltime high new case positivity rate hospital,0.14424242424242426
27,dear seokjin thank speak candidly amp openly recent burnout experiencei glad ar,0.3666666666666667
28,americans dead pandemic pray dead pray hard caretake moment remember,-0.23055555555555554
29,ridiculous available one day online amp store literally get stay home order make sense,0.033333333333333354
30,people die covid united states today die covid japan,0.0
31,can not wear mask cause panic attack shopping weekend school college kid bullying right,0.2857142857142857
32,interesting tweet timing get fund pandemic gavin,0.5
33,want share heartbreaking story regard friend sister pass away december husband die cancer year ago young son without parent,0.1
34,people say do not need anymore covid relief deadass stupid there s hella people work week even common cold precaution job do not pay time people can not afford miss much work,-0.37499999999999994
35,yeah even have not basically show tackle current event episode dedi,0.0
36,back april freaking lockdown nobody could buy toilet paper scientist cure cancer ht,-0.016666666666666666
37,join first tweet tag discoveriesneeddollar year later still sam,0.125
38,unfathomable unforgivable month pandemic still easy access test quick reli,0.3833333333333333
39,weirdwa basically anthem lockdown rona first hit pan confirm defiantly weird time lifeeee,-0.125
40,voter i d covid vaccine card never,0.0
41,great covid plan wear mask that s,0.8
42,take vaccine distribution globally via,0.0
43,new evidence may drastically exacerbate us opioid crisisoverdoserelate cardiac arrest ob,0.012121212121212116
44,pump fist watch sport celebrity psa say handle ohio toughtm way state shatter new tra,0.13636363636363635
45,joe biden announce plan order people wear mask april day af,0.0
46,great two conspiracy cia covid bioweapon well articulate nishiyan china virus,0.8
47,dec today receive get pandemicthat,0.0
48,jk track record politician one gross failure management along tyler shandros management alberta pandemic pitiful lack strength rapidly change curve jk fail lead always,-0.2722222222222222
49,million americans coronavirus million americans coronavirus million americans coronavirus,0.0
50,pandemic toll people mental health increasingly view crisis within crisis interdisciplinar,-0.1
51,micronesia drop operation christmas drop coronavirus fear,0.0
52,break united states report new daily coronavirus case,0.06818181818181818
53,covid isolate what s vaxx,0.0
54,rondesantisfl americas bad governor that s say lot straggling aro,-0.6999999999999998
55,administration engage pattern secrecy spin respond grave health,0.0
56,covid ass,0.0
57,roman stance regardless covid nobody want fucking slappie ppv,-0.6
58,president trump set example keep claim do not need wear mask get virus be not bad rally one wear mask thousand participant risk spread double triple quadruple people etc he s make virus control,0.17499999999999996
59,la go back lockdown illegal ride public transit bike walk shopping mall allow,-0.16666666666666666
60,covid update december there s long indifferent people die people figure you re assho,-0.05
61,coronavirus case nc skyrocket hospitalization continue rise,0.0
62,international day people disability commit fight people disability,0.0
63,put manitoban back line hurt manitoban put mildly wait honestly,0.3111111111111111
64,daily update publish state report million test case death people,0.0
65,really small country like slovenia malta portugal etc ensure get quickly large,-0.017857142857142863
66,have not even hit postthanksgiving surge yet sick stomach,-0.7142857142857143
67,blah blah blah want less government life want government want tell wear mask that s three month equal six month need government protect want nanny state,-0.08333333333333333
68,panelist amazing learn much,0.4
69,finally canadian newspaper attack government opinion canadas strategy assault work,0.0
70,allegheny health network freezer set receive vaccine wtae pittsburgh,0.0
71,yes fire close corona airport,0.0
72,apparently people die vietnam total,0.025
73,la go back lockdown illegal ride public transit bike walk shopping mall allow,-0.16666666666666666
74,exactly case yonker surge commitment student remain strong must transparency assurance school safe demandsafeschool,0.39444444444444443
75,downward spiral paul ong director obstacle face smallbusine,0.0
76,year people look back amazement amp anger congress almost nothing provide relief american,-0.2333333333333333
77,time amp amp tell teacher amp union member walkout school masse lockdown area online learn vaccine available righttolife important inschoollearning,0.4
78,public health friend initial fatality rate covid ny marchapril much high part country even new case explode learn treat serious case covid well serious question,-0.061717171717171705
79,laugh every time hear one use word freedomeven lockdown free many thing one force stay home unless live china talk freedom living understand americans spoilt brat,0.3340909090909091
80,top scientist warn there s chance experimental vaccine could cause permanent infertility even,0.3
81,still one talk south dakota maga lunatic governor kristi noem genocidal war sioux,0.0
82,dear seokjin thank speak candidly amp openly recent burnout experiencei glad ar,0.3666666666666667
83,dbh do not want know that s do not amp continue pretend school safe amp kid do not spread covid,0.5
84,road sign say people die wreck texas year perhaps list number people die covid,0.0
85,break united states report new daily coronavirus case,0.06818181818181818
86,prrd call early start vaccine pres duterte prrd want vaccination start early possibly,0.06666666666666667
87,forgiveness anyone trump crime family,0.0
88,key takeaways national statement special session un general assembly response covid,0.1357142857142857
89,joe biden tell cnn ask dr fauci stay exact role past several president,0.0
90,back start may white house predict covid death would fall zero middle month ba,0.0
91,we covid update number new case hit alltime high new case positivity rate hospital,0.14424242424242426
92,hi twitter never stuff like parent greek restaurant thinking closing door,0.0
93,haunt authentic honest inspiring heartbreaking thank dr dr ts,0.5333333333333333
94,half money treasury department coronavirus emergency fund small business go percent recipient accord datum million loan release government tuesday evening,-0.20833333333333331
95,joe biden announce plan order people wear mask april day af,0.0
96,ipad stockpile icu end life goodbye something steve job foresee ht,0.0
97,opinion kenney blame inaction covid surge south asian community ableg,0.0
98,dead disaster zone uks message isdear rich people rulescovid do not apply youlet highv,0.0875
99,joe biden announce plan order people wear mask april day af,0.0
100,amp force majeure clause lease cre forcemajeure,0.0
101,people test positive march april invite participate study,0.22727272727272727
102,stand ground law give permission shoot anyone make nervous thank go,0.0
103,covid scare,0.0
104,place test covid antibody donate blood you re curious,-0.1
105,shout furman bball coach bob richey amp ad jason donnelly quickly find replacement richmond game cancel due covid issue ur thank coachrichey charleston come,-0.0638888888888889
106,among many shift consumer behavior increase use desktop search may longterm trend desktop search,0.5
107,back start may white house predict covid death would fall zero middle month ba,0.0
108,accountant bookkeeper join live webinar swoop tax assure hear late advice ato approach sme tax debt post covid funding option smes australia new zealand head free register,0.09318181818181819
109,daily update publish state report million test case death people,0.0
110,need rental assistance midst deadly pandemic century king county would compete,-0.2
111,tomorrow cover democrat hypocrite undermine covid say attitude ht,0.0
112,I m think hear put good way government fail we every way regard covid need disregard mandate make decision constitution give we right,0.16190476190476188
113,today seem like good day remind sendavidperduebought stock pfizer week announce va,0.7
114,elect official doctor picture tweet provide new universe productionsa fame company,0.4681818181818182
115,againmichigan break death todaymichigan become state kill least every resident,-0.3
116,join chat life amp football amp midfielder episode cha,0.0
117,currituck county free driveup testing clinic fri dec pm currituck health dept insu,0.4
