,full_text
0,last georgia new covid case death response dave p tweet conspiracy theory mitch confirm judge trump obstruct vaccine distribution penny go florida vacation jon care georgia dave do not
1,defund police activist amp portland city council woman pull race card reveal call police lyft dri
2,ass guy
3,think covid scary wait till see government unarmed citizen
4,unforeseen longterm effect destroy life victim become infected covid virus ongoing trumpcovid pandemic trump destructive legacy continue trump
5,covid do not disappear nov instead spike dangerous widespread infectious
6,covid do not disappear nov instead spike dangerous widespread infectious
7,covid do not disappear nov instead spike dangerous widespread infectious
8,get hand saskatchewan physician concern we ve collect signature
9,think covid fake that s president moron tell
10,course bc people vote via absenteemailin ballot there s literally pandemic go
11,break trump legal advisor election lawsuit do not law degree even bachelor degree
12,th record progeny consent vaccination covid practice violate person bodily
13,eatersfeatersandiego indoor dining stoppedeatertwincitieseaterboston restaurant curfewseateraustin bar still can not open amp maskssocial distancing require dec bar open indoor service
14,georgia death rate get
15,listen nope long everything still open people spread disease
16,congratulate entire team successful timely conduct free fair election include time
17,point people towards australia manage keep thing control listen science amp history melbourne endure incredibly hard lockdown result speak volume amp rest country able relax quite bit since initial march lockdown
18,tweet day night signifact actual work except reap divisiveness disco
19,covid do not disappear nov instead spike dangerous widespread infectious
20,daily reminder georgia voter two senator rather warn protect pandemic choose cal
21,record consent vaccination covid whatsoever practice violate person bodil
22,typo us show do not try give we escape like hard topic they re cover could do without interlace covid storyline least side
23,covid socialism should ve expect
24,he s go to beat dick hell beat covid hell beat bungle herewego
25,wait day person finish pout lose election make entire country wait transition
26,pasteur institute biomedical research center base senegal capital city dakar say close produce aff
27,sen chris murphy senate floor epidemic delusion spread white house infectin
28,kamalaharri be not waste time ready get control reopen business
29,source tell part biden transition plan would make change voting process permanent
30,we hit alltime high hospitalizationsall courtesy
31,today republicans supreme court argue take health care away million americansin middle
32,north dakota average covid death dayadjuste population like usa averaging de
33,unconscionable republicans vote two politician call stockbroker first hear abou
34,mainland china report new case vs day early
35,update pakistanpositive case yesterday positivity rate
36,break we record new high covid case hour tally
37,valve do not today
38,pasteur institute biomedical research center base senegal capital city dakar say close produce aff
39,terrible
40,republicans believe coronavirus hoax widespread voter fraud real
41,daily reminder georgia voter two senator rather warn protect pandemic choose cal
42,help state funding waterford upstart help offer athome solution parent preschooler mississipp
43,trumper want leave we can not leave president screw pandemic bad
44,pfizer vaccine funding come germany operation warp speed bloomberghttpstcodnwfxizwlj resist covid
45,love chicken popeyes
46,equate work learn trust studentsafter prioritize th
47,lmfaooooooooo pls
48,well competitor like amazon pandemic really do number type company since order whatever want go anywhere do not think bad idea though
49,try apply job pandemic
50,forprofit health care system leave million uninsured underinsured covid new fox poll
51,maybe fuck global pandemic something visit local hospital icu lately
52,imagine tell grandkids year ask war covid well refuse wear
53,hospitalization today day pandemicfolk matter time u
54,will not president january message today everyone wear mask
55,last year laugh totalitarian chinese government begin track amp trace citizen via social c
56,thing conspiracy theory do not person whatever pollution believe you re get otherwise well covid
57,stop selfish stay home wear mask can not
58,new york ap we surpass million new confirm coronavirus case first day november
59,hero day indonesia kompas use front page pay tribute indonesian doctor nurse
60,today republicans supreme court argue take health care away million americansin middle
61,proud announce rwandan canadian toronto community successfully receive funding united way
62,really convenient mention ongoing pandemic one main reason there s ginormous uptick absentee ballot election
63,huge news thank publicprivate partnership forge president announce coronavirus
64,say yesterday face dark winter do not get coronavirus control please wear mask
65,let review shall wethe trump admin walk away pandemicnow private industry com
66,well there s coup attempt plain sight well rage pandemic sure big problem face access
67,trumper want leave we can not leave president screw pandemic bad
68,sign send petition us senate must focus relief immediately federal judge con
69,release start today marylander use md covid alert receive exposure notification smartphon
70,naturally subject many question important thing people talk tuesday miaa basketball season eight day away
71,covid do not disappear nov instead spike dangerous widespread infectious
72,real quick go get covid test I m fine work drivethru wappt shortstaffe get
73,how s make feel senior citizen vote biden covid vaccine country plan die enjoy
74,create virus china complain jin ping
75,try apply job pandemic
76,covid do not disappear nov instead spike dangerous widespread infectious
77,wrong healthcare make less accessible expensiveespecially global pandemicthe biden
78,desperately need help reno call today w hospital beyond alarming must modify behavior
79,trumper want leave we can not leave president screw pandemic bad
80,hold ccp accountable
81,trumper want leave we can not leave president screw pandemic bad
82,covid do not disappear nov instead spike dangerous widespread infectious
83,align department focus revenue growth covid less maintenance encompassbt itconsulting itstrategy itprocess itservice revenue risk leadership
84,team detail look record day hospitalization likely enter bad period
85,lose adult front tooth tooth loose turn vasculature damage month aft
86,bad we post new coronavirus casesa record high people currently hospitalize
87,he s say stay fuck home
88,align department focus revenue growth covid less maintenance encompassbt itconsulting itstrategy itprocess itservice revenue risk leadership
89,china ban wuhan doctor social medium warning covid call false rumor
90,north dakota average covid death dayadjuste population like usa averaging de
91,lock home indefinitely make wear mask forever ever work want pay taxis
92,covid do not disappear nov instead spike dangerous widespread infectious
93,wear mask kiss
94,icymi skytrax rate airline airport around globe introduce new branch airline safety rating
95,michigans hospitalization level highest they ve since april covidpositive patient h
96,really important story state dramatically reduce spread address restaurant gym hotel
97,episode covidcast join discuss indonesias struggle way forward southeast asias big economy slide first recession since asian financial crisislisten
98,ted cruz continue
99,hud secretary ben carson test positive
100,wecomic trend could good flirty word patient psychiatristtitle let inapp wecomic stayhome staysafe trend webtoon comics manga anime comedy romance meme yaoi yaoiship bl boyslove boyxboy comedy
101,governor greg abbott say state texas allocation plan place swiftly distribute medicine vaccine become available treat
102,trumpism causeda pandemic control republican governor could care less amp
103,see account immediately spring tree claim have not able see arborist since january pandemic
104,blood donation high demand shortage due moregt
105,method study include collect demographic datum mental health diagnose clinical diagnosis symptom management outcome datadementia mentalhealthmattersread
106,restaurant far risky place four time risky gym coffee shop follow hotel fo
107,november veterans day united states today people across country honor million veteran covid safe ceremony recognize bravery sacrifice fight americamore we
108,virtual remembrance day ceremony tkemlup te secwepemc year guideline kamloop
109,child play large role covid transmission bced plan acknowledge one work go sc
110,africa total case exponentially grow per day average avg daily case increase past jmlukenshttpstcoglbvuorvibviruse exhibit nonlinear exponential
111,thanksgiving travel million expect travel despite rage holiday approach cdc release new guideline stay safe celebrate report
112,spotlight focus administration mainly domestic issue foreign policy matter involve pandemic climatechange economic recovery competition russia china forum hear
113,new guidance say mandatory mask wear help prevent need implement economic shutdown
114,temperature get cold people head indoors tioga county health official fear coronavirus case continue rise
115,online shopping scam spike pandemic since people turn online shopping
116,today republicans supreme court argue take health care away million americansin middle
117,evidence suggest eviction suspension early year effectively slow spread reduce death order halt eviction time marginalize community may well protect
118,keep kid active year
119,I m thankful kids career go school hard let go make sure family get woman leave workforce help home thereboundco
120,dr anthony fauci secretary believe vaccine available average american next spring coronavirus httpstcormwgfscapi
121,court official do not say employee test positive coronavirus station give broad warning anyone who s visit courthouse recent day test selfquarantinedmore
122,analysis high number case suggest reeves likely extend mask mandate county
123,continue see record number coronavirus case state health official say they re struggle keep
124,I m thankful kids career go school hard let go make sure family get woman leave workforce help home thereboundco
125,even though technology world keep change every day question injustice suppression poverty unemployment amp hatred remain time find answer wisdom love share edenonearth dhavalsonsoil enemployment hatred
126,analysis high number case suggest reeves likely extend mask mandate county
127,local doctor fear rise case lead hospital reach capacity
128,today set new record high case hospitalization day also high death tol
129,wisconsin need break parisi say statement release tuesday afternoon
130,ministry health population announce reserved pfizer vaccine dose fulfill percent egypts needsegypttoday egypt coronavirus kwrwn
131,weather neither friend foe say dr dev niyogi choice make personally determine risk
132,gianforte name task force
133,pandemic although do not think transmit fish
134,terrify everyone party responsible throw infected old people nursing home want
