,full_text
0,thank timetable reduction get travel stupidly pack train need
1,lockdown ergos la zoom continue week welcome machine ability need motivation reg
2,sick last week have not able make appt get covid test need go back work feel bad bc feel fine probably miss next week anyway
3,great visual covid spread
4,illinois closing driver service office tuesday dec
5,look like we ve turn corner house I m go tell story love pandemic start
6,never covid fact see b johnson come unpopular popular find strategy also minimise disease little flu prove want visit covid patient hospital do not risk anything liar
7,soon face pandemic year government really never cancel freeze forgive rent
8,health insurance premium nearly double year covid alone blametheprint himani chandna
9,climate covid hoax
10,think suppose conspiracy theory straight trudeaus mouth pandemic e
11,three reason american can not safely holiday fuckwit wh
12,look like we ve turn corner house I m go tell story love pandemic start
13,go gym take hiatus next month workout home instead gym highrisk environment
14,disgrace uhc staff health worker risk give life frontliner fight reward financial difficulty since maypayuhckajiado
15,chicagoans active infection nov mask wash hand watch distance
16,joining have not meet taskforce month imagine
17,fully agree thank great video government germany beat winteravoid crowd stayhom
18,artificial intelligence ai freight transportation market business outlook segmentation top key player pr
19,south australia reimpose number restriction response potentiallydevastate outbreak adela
20,mom dad texas say daughter die less hour test positive
21,money money moneyand money usatoday ausverkaufimweltall spacex
22,hey know what s really mean girl high school call covid pandemic dandemic would also su
23,charle second wave corona much much bad first protect avoid crowded place wash yo
24,really get haircut stay home homework
25,think covids big lesson lot people need get hobby secondary going drink
26,update proud announce along mrnabased vaccine candidate interim analysi
27,exactly feel like own lib vote someone people demonize they ll let tell rally cry actually help majority we need provide security plan get we thru covid amp stabilize
28,morrison realise participant decision make process covid
29,lock
30,break we surpass million coronavirus case take day go million million
31,inventor design hightech helmet covid safety
32,people keeling street wuhan province cart
33,protect corona pandemic always wear mask sanitize hand avoid touch eye nose
34,work whole way furlough chance pay tax pay back
35,would regrettable miss one thanksgiving dinner catchingpasse covid fauci put well last year great thanksgiving look forward another great thanksgiving one year
36,happy birthday australians proud national carrier thank everyone q
37,bulawayo brink go complete suburb specific lockdown case city ris
38,one student report parent covid she s experience covid symptom
39,yo dystopian af
40,speech incite people rebel authority state monarch sedition
41,difficult time put word feel leave hospital chest compression c
42,elon musk famously predict coronavirus would go april contract virus meanwhile report
43,maybe jake ill christmas family use common sense measure america
44,civilization vs barbarism worst
45,chinas industrial output rise fasterthanexpected october year early expand seventh straig
46,cook county sheriffs office cancel inperson visit county jail start monday r
47,case alberta highest they ve ever please wear mask abhealth
48,three reason american can not safely holiday fuckwit wh
49,holiday season right around corner pandemic still claim live thousand americans eac
50,well ezra statement claim highlight interview july client w
51,new people identify alaska resident anchorage fairbanks wasilla eagle river soldotna juneau kenai sitka bethel census area kodiak north pole homer palmer
52,navajonation inspirational despite nativeamerican ppl put still retain sense decency concern other that s sadly lack much trump america I m apprehensive abt pandemic impact face
53,do not know kind notice inequity pandemic month ago feel like great insult we want keep govt accountable insane
54,do not like trump amp handle covid ok whyfor love that s goodwould ever feel compel
55,late flood amp disaster news thank
56,opinionbbcnews odd cover story look like major protest city cover lot mayor situationyet ignore hardly balanced let we kbf protest
57,detainee national police crime division detention center diagnose include several h
58,denmark didand poland
59,great visual covid spread
60,cuomo bash trump threaten legal action equal access vaccine
61,new secret service officer say infected coronavirus quarantining wake trump campa
62,dental antibiotic prescription rise lockdown
63,holiday season right around corner pandemic still claim live thousand americans eac
64,sabarimala thirthayatra mandala beginsmay land heal grip covid may dharma prevail soil
65,budget budget need approve address national budget office bernama
66,goibibo book round trip goibibo due covid cancel however process refund one way ticket amp eat money trip refund till date even persistent request bad services mental harrasment zero customer support
67,do not get want people die dem be not stupid go effect
68,covid vs
69,real shame completely understandable well safe sorry take care safe travel
70,german covid ad subtitle english absolutely superb
71,text receive ask good friend pulmonary critical care doctor wea
72,people deserve go place historical shame like confederate pronazi america firsters segregationist
73,arrest brother say he s criminal someone please help
74,great visual covid spread
75,politic stuff everyone favorite thing talk think voice act get progressively bad year big loss still
76,america europe fuck fucking bad ill always shocked people be not angry
77,also anyone know much covid adrenal insufficiency please reach
78,would say stay home rest dunnonif call sick sth
79,think bread line do not happen capitalist society
80,bbi can not wait corona ipungue money treat corona patient raila access yu people cool
81,sad still need proof
82,matterfulmonday adrian swinscoe pen everrelevant piece year ago suggestion selfservice remote waiting solution holiday season queuemanagement secondwave customersatisfaction forbes
83,great visual covid spread
84,arrest brother say he s criminal someone please help
85,note none people die attend wedding people plan big thanksgiving be not simply jeopa
86,happen australia handful case pop people get test case identify conta
87,new covidiot talk point there s difference full icus amp turn multiple medsurg unit icu
88,critical message need get save life holiday gathering go enough accelerate th
89,never covid fact see b johnson come unpopular popular find strategy also minimise disease little flu prove want visit covid patient hospital do not risk anything liar
90,need demand mlas city council mayor important kenney different ambition
91,fight herd stupiditylet diehey youout genepool
92,great visual covid spread
93,fight morocco may present biden fresh africa crisis amid covid surge
94,think health care worker give pandemic many facin
95,break habit everyonetrump news anymore he s ridiculous figure go history america
96,please help lane basketball fundraiser way fundraise due covid anything help can not help please share spread word thank much
97,november presidentelect joseph r biden jr name expert transition advisory board
98,covids prob go to keep plow thru we
99,exponential growth prepare what s hit we
100,msm decide forget cover electionand recount pivot back covid apparently need lock
101,coronavirusupdate statewise detail total confirm casestill november state w
102,able attract large crowd political rally pandemic really should not wear badge honour
103,speak united kingdom simply amazed see billionaire beg voter pandemic thousand lose job penniless see trump put hand pocket help anyone people
104,official update thailand people infect import discharge hospi
105,unemployment figure last week remind we still far prepandemic level say
106,many people work pandemic mean people need help thanksgive several food bank say really do not know
