,full_text
0,corona virus explain craft term friend craft use glitter many project glitt
1,doctor radiologist infectious disease expert bring advise
2,first lockdown wake play animal crossing eat smoothie bowl garden sunsecond lockdo
3,half death country involve seek medical help critical stage say health kwiknews nation
4,really start envy half humanity mcu get skip ahead miss coronavirus
5,please lets come together respect wear mask thank first responder work tirelessly
6,governor try tell see whenwhere may see please civilly disobey comply keep stupid lockdown bullsht forever think end coronavirus think
7,guardian immune system cope politician can not angela
8,stay home stay safe carantina hard time congrat
9,tonight issue emergency order enact threeweek pause target indoor social gathering othe
10,never comply another lockdownyoure free american politician work
11,family battle covid day nowwe shapewe consider mild casesand
12,bbcbreakfast two week lockdown pm selfisolate else get sense deja vu
13,bombay high court rule scientific datum support claim covid spread burial next
14,I m teacher have not go anywhere since march doctor shop online curbside contact pickup order take food deliver yeah school scary covidiot like do not smarten ill safe home awhilewearamask
15,great visual covid spread
16,trump failure work biden become urgent covid spread smartnew
17,covid christmas mommy santa wear maskme good question ask alexa goto alexa alexa santa wear maskalexa hmmmm I m sure know talk aboutcovidchristmas lifeofmom
18,chief minister cm sindh syed murad ali shah test positive novel coronavirusfor detail
19,break habit everyonetrump news anymore he s ridiculous figure go history america
20,rtpcr test double delhimobile test van amp deploy vulnerable sp
21,well hell cause covid make see people really sucky have not chance talk girl face face turn maybe find one also have not able get woman love like
22,dubai capital islamic economy initiative work enhance sector investment climate
23,case rise minnesota make sure health insurance coverage get open enrollment
24,result trump policy year relate malignant narcissism we ve watch
25,open slowly surely time like mask mandatory make point wear mask every
26,dear president uhuru kenyattayou dp william ruto government official bbi raila odinga trigger attend
27,realdonaldtrump face grow pressure start transition covid surge across we
28,bro one last week require we record talk someone minute cope covid prove actively listen
29,people deserve go place historical shame like confederate pronazi america firsters segregationist
30,rapid test might effective expect studytbc tbcnews thebridgechronicle news dailynew indianews punenews
31,hey maybe you re right maybe govt force wear mask ever year virus defeat bubreference dunningkruger effect cognitive dissonance cult worship
32,soon face pandemic year government really never cancel freeze forgive rent
33,be not arrest scott atlas incite violence gov gretchen whitmer try save life
34,fraserhealth school abbotsford christian school update fha require middle school staff amp student self isolate
35,big scandal year united states government corporate party pass massive wealth
36,late online grocery shopping daily thank coronavirus technology
37,please safe wear mask single big step take mitigate spread disease one shot life let right help stop spread
38,hit right nose due coronavirus add value place delivery drivethrus digital competence question whether stick post vaccinehow mcdonalds return marketing growth pillar
39,really live pandemic like covid really exist shit be not hoe
40,omg incompetence country
41,juin
42,mean test trace work phone that ll first
43,family battle covid day nowwe shapewe consider mild casesand
44,two friend icu complication one worker miss day work another worker quarant
45,truly war virus frontline troop weary enemy we surround
46,completely inhumane holiday winter
47,serious charge science suppress political financial gain unleashe
48,social distancing mask still necessary get vaccine fauci
49,kab huga lockdown
50,head teacher sign school covid symptom tracker receive daily insight health
51,you ve covid relate family drama diwali year matter
52,truly war virus frontline troop weary enemy we surround
53,trump want raise money concede amp allow biden become inform pandemic trump murder e
54,north dakota lowest maskwearing rate we october accord survey datum state without mask mandate sa
55,australia destroy second wave covid way other thank victorias commitment hard lock
56,around uk participant recruit covid finalstage vaccine trial
57,thus public health message socially distance can not wear mask bu
58,you re essentially tell rest australia contact tracing system either be not national standard have not invest time last month implement system reduce hard border lockdown poor poor governance
59,greeting nationalpressday medium fraternity work tirelessly towards strengthen foundation great
60,dishonest propagandist claim socialism failure result bread line take look actually exist
61,greeting nationalpressday medium fraternity work tirelessly towards strengthen foundation great
62,I ve readmitte hospital full blow covid pneumonia
63,yes that s come rank india press freedom index
64,great visual covid spread
65,wear gd mask
66,hey I m see family thanksgive covid rate truly terrifying hope everyone consider
67,text receive ask good friend pulmonary critical care doctor wea
68,pretend bar restaurant cause spread con kenny brain dead
69,parcel delivery complaint treble amid uks covid online shopping boom
70,bitch like plur tell nurse should not nurse pandemic she s complain
71,powerhouse increase national debt almost trillion usd dead covid obama bring home people military trump lol
72,sweet sharing today diatribe queensland western australia though feel northern territory amp ta
73,break we surpass million coronavirus case take day go million million
74,we coronavirus case pass million one week donald trump play golf smartnew
75,several popular kpop act set participate online concert nov cheer people amid prolonge
76,though longdivide racial line cape town together bring community together help need pandemic via
77,australias high commissioner india meet rss sarsanghchalak dr mohan bhagwat ji nagpur discuss relief
78,make take shoe airport one fail sneaker bomber gym carona kill quar
79,nurse teacher pay taxis government give money rich friend end
80,tweet rigged election past week tweet covid past month people dead still be not anything worry fake signature fraudulent ballot
81,would love logic explain people set policy would good find true number covid actually kill
82,reinfection prove fact genetic analysis different covid virus patient caughtthink common cold also cause corona viruscan catch cold year lifetime
83,heres thing want everyone understand roughly lag rise case rise hospitalization
84,nurse teacher pay taxis government give money rich friend end
85,I m probably yugyeom lockdown I m time
86,haha will not live purely spite rn mentally catastrophic I m even one people actually lives destroy I m hope need lockdown
87,march tell week flatten curve month agoscrew authoritarian lunatic
88,india continue unbroken trend daily new recovery outpace daily new addition
89,talk parental teacher influence research impact child young people physical mental wellbeing pick amandas brain well develop research inform campaign
90,government sufficient flexibility increase allocation next year billion finance minister datuk seri tengku zafrul abdul aziz
91,obviously minister must carry fault responsibility obese stig
92,exam aheadcorona like joke youehwhat matter life exam part life
93,chinas sinopharm recently say data largescale largestage clinical trial overseas develop vaccine well expect volunteer country involve vaccine candidate clinical trial
94,major trial vaccine protect launch uk third trial country
95,unemployment figure last week remind we serious economic blow far pre pandemic employment level
96,lockeddown brit begin resist intolerable condition live challenge illiberal constraint impose covid state seem life leave community yet say
97,we surpass million coronavirus case sunday add one million new case less week accord tally johns hopkins universityus
98,time come we kenyans normalize wear protective face mask maintain social distance good way help control spread rutothesuperspreader
99,despite effort keep election site safe poll worker come contact voter election day test positive coronavirus include two dozen missouri other new york iowa indiana virginiahttpstcoasiaxchwkr
100,yorkshire construction firm announce investment investment
101,daily prayer thought time pandemic
102,please note change date two course due covid restriction
103,digitaltransformation good practice synchronize effortsb align staff startc look perspective customersd leverage late technology thinktechnology bestpractice usa ksa china digital leadership change
104,update asiapacific area help struggle economy recover covid also extend chinas trade influence follow avant guard
105,europe china working investment agreement europeanbusinesssummit get underway agreement mainly aim spur recovery follow economic fallout coronavirus pandemic
106,six south korean player test positive international duty austriaawaninews
107,bioprocessuk conference celebrate role uk bioprocessing manufacture community vaccine explain they re look forward conference
108,feel great representative literally try kill
109,second wave begin holiday season plan accordingly keep social distance saf
110,
111,rapid mass adoption digitalhealth technology
112,we surpass million coronavirus case sunday add one million new case less week accord tally johns hopkins universityus
113,happy christmas eve await filipinos continue work street amid pandemic iba yan host angel locsin surprise noche
114,that s good thought lie
115,ep tpim available listen week discuss lockdown completely unaware episode would drop lockdown click listen lockdown podcast
116,fezahonline mwizafezahlive soulful vocalist get ready spice midweek wednesday november ready book ticket via stayhome staysafe mwizafezahlive
117,america europe fuck fucking bad ill always shocked people be not angry
118,heres thing want everyone understand roughly lag rise case rise hospitalization
119,twitter scott atlas already responsible thousand death policieshis tweet b
120,be not arrest scott atlas incite violence gov gretchen whitmer try save life
121,nigerias coronavirus case exceed
122,must affect mental stability
123,political gain mostly self survival know need money fight lawsuit run
124,pt covid hospital continue currently wave colleague work significant pressu
125,president rodrigo duterte respond studentle academic strike protest government response
126,current condition sayre patemp chill point barometer inhgwind mph wswcorona virus weekly statscase nepa bradfordcounty
127,coronavirusupdate total case india november cureddischargedmigrate
128,fascinating timely reflection look other need intentional
129,soon face pandemic year government really never cancel freeze forgive rent
130,excellent statement peta credlin michael obrien rachael tim smith amp rest wanker look upon
131,november high infection peak head plan visit kenya see infection bring
132,weather shite lockdown game til sunday happy monday folk
133,indias wrestling pit turn gym pandemic bbc news asianews bbcnews euronews worldnews umarkhalidkorihakaro
134,everyone still believe establishment propaganda covid rememberswine fluit channel
135,mention pandemic guy think that s acceptable stress eat scenario I ve ever hear one
136,responsive health management hire covid screener job toronto
137,boris johnson selfisolate two week meet tory mp covid I d surprise anybody notic
138,note none people die attend wedding people plan big thanksgiving be not simply jeopa
139,va back phase start sunday virginia see case day that s begin number aprilma
140,fox spend month promote false cure mock mask attack common sense public health measure attack
141,lose customer impact pandemic go competitor call good customer ask situation amp well serve pick top issue amp survey wider easy fix great time urgent strategy reviewsale
142,trump mishandle covid impact medical professional er nurse via
143,good thing precovid economy trump be not gdp growth job growth largely follow obama trend
144,purchase billion fresh produce dairy meat product family farm farmerstofamilie food b
145,world bad logic covid case skyrocket someone gets intubate die probably will not
146,morning monday lockdown continue back another breakfast showinternetradio nowplaying music want hear listen
147,despite current lockdown wanted assure johnfhunt team still able offer service whilst comply covid safety guideline please get touch anything help businessasusual johnfhuntgroup safety
148,player test positive coronavirus guidance leave move cancel thanksgiving
149,would minister claim centrelink website ddo attack overrun
150,antiviral remdesivir use routine treatment patient critical care ward head
151,beauty pakistan corona dance macabre intensifie
152,protect love one official nhs contact trace app download travel we use well control coronavirus travelsafely
153,pandemic ever end ever get see play cry fuck hard
154,home minister amit shah take charge delhis alarming situation abpnews via unfollower
