,full_text
0,morning share enthusiastic tweet pfizer interim result vaccine let exp
1,prayer drbencarson feel well soon brother ben carson say multiple possibility get
2,head coronavirus task force go vacation
3,care vaccine think loyal cult trumpsupporter count trump herd mentality plan get america pandemic
4,sign thing get well soon first set result phase vaccine trial pr
5,lesson covid teach we openaccess publications traditional pub model fit purpose prep
6,retail sale jump october second lockdown throw recovery away
7,global coronavirus case pass kill
8,quarantine free flight denmark new strain covid allow walk km home allow
9,steelers te vance mcdonald place reserve list confidence big ben somehow able play sunday
10,wow refresh new president do not appoint kid oversee covid task force
11,will not president january message today everyone wear mask
12,will not president january message today everyone wear mask
13,transition advisory board advise detailed plan build bedrock science keep compassion
14,child miss trump say many toddler million amercan voter think acceptable million american voter think hoax bidenharris democrats change trumpthink
15,help australians back poverty
16,imagine happen human body mix legal cannabis covid vaccine mcplant burger time
17,go without say undermine trust vaccine midst global pandemic score political poi
18,bad soon pass time high number hospitalization soon quickly
19,hidoe anyone info get test covid lagosplease help sister urgent
20,will not president january message today everyone wear mask
21,dust settle admit time hope trump would die corona actually much
22,espn cut job network blame covid fail mention rating plunge due wake messaging
23,oh wow good question seem alright pandemic hit economy goodof course migh
24,bad soon pass time high number hospitalization soon quickly
25,amloser you re nextlaligamitica
26,today name transition advisory board comprise distinguished public health expert help tran
27,eua authorize bamlanivimab treatment mild moderate adult pediatric patient
28,another day work hard well
29,citizen bahrain travel amp enter nepalbahrain nepal traveldoc travelduringcovid
30,thank
31,child growing do not mean know get start assignment stay focused finish work
32,challenge we right still immense grow need bold action fight pandemic
33,expect little umph housing sector today positive covid news like rkt ivr undervalue gap stock fill massive I m sure react tomorrow buy imothestampede
34,will not president january message today everyone wear mask
35,break senate voting advance one trump nominee serve life federal bench mcconnell stil
36,today presidentelect biden thank prime minister trudeau congratulation reaffirm close bond betwee
37,wrongpfizer do not take fed research enter agreement w trump admin july logistics amp rec
38,congratulation together planet save climateemergency global economy build back
39,nygovcuomo say bad news pfizer covid vaccine come trump admin say he s go work w g
40,break assembly minority leader barclay test positive capitaltonight
41,ronchava another radical liberal anyone follow stacey abrams acosta clinton jamele hill etcare obviously socialistmarkist people part color revolution right great resetturning america socialism name covid
42,trump mcconnell want immunity prosecution lawsuit action relate coronavirus yo
43,oh get really really furious
44,list people go tonight do not send chill spine
45,speak congratulate election we ve work
46,refuse concede biden election
47,guten tag read coronavirus situation bad get bad nee
48,mask wear one
49,kingstbluegrass play nj standardbred retirement foundation srfsoss fund raising day
50,purely partisan statement pfizer head vaccine research distance firm vaccine development white house operation warp speed little late start kiss trump ass be not
51,trump campaign election night watch party white house east room mask social distancing
52,file hb create automatic voter registration system within tx dept public safetys driver license
53,will not president january message today everyone wear mask
54,one think get new minister health small amount medium coaching take portfolio do not sound well like
55,rear admiral john polowczyk lead large national mobilization since world war ii coronavirus task fo
56,lockdown back can not relate have not change anything I ve still home organising group pub hang treat
57,coronavirus marry couple behind successful pfizer covid vaccine
58,ourkuleana prevent spread wear maskwearyourmask flattenthecurve doyourpart livealoha wenotpauyet washyourhand
59,datum humidity covid everything i d see date extrapolate influenza
60,presidentelect biden promise ensure public health decision inform public health expert make goo
61,hard see exactly get statistic source name cdc do not actually list specific statistic
62,people think plan covid
63,trump usually always wrong agree theory fda wait announce covid vaccine right election fast discredit trump vaccine
64,pm scott morrison amp social services minister anne ruston announce jobseeker coronavirus supplement extend
65,what s joe biden create covid plan vote think go make say merry
66,recklessly irresponsible comment guy whose horrible decision cause massive nursing home death ask janice
67,establishment medium utterly beclowne four year russian collusion nonsense trumpasresponsible
68,safe hand tell americans oh can not trump let die would not wear mask
69,will not president january message today everyone wear mask
70,speak congratulate election we ve work
71,go thank canada
72,one idahos large hospital strain heavily surge case force weekend
73,nation listen doctor
74,azerbaijan launch genocide commit numerous war crime pandemic get away will not even hel
75,will not president january message today everyone wear mask
76,I m sorry call
77,lie sack shit think covid nothing big joke do not care americans die joe biden care americans care rating
78,lock stimulus check student loan forgiveness
79,have not gleescrolle hard since trump get covid
80,trump legal challenge superspreader road show
81,break prime minister scott morrison say jobseeker supplement cut unemployed australians receive fortnight first three month auspol
82,coronavirus task force meet today discuss big news morning president
83,new presidentcovid vaccine updatenew consolesa good assassins creed gamespidermandemons soulscyberpunkt
