Unnamed: 0,full_text,sentiment_score
0,fucking fuck,-0.4
1,nfl vaccinate nhl nearly vaccinate nba vaccinate three professional spor,0.1
2,do not see either,0.0
3,stop lie thousand watch live move police start shove crowd peacefully protest,0.19318181818181818
4,periodic reminder politician medium use talk covid death,0.0
5,weak strain congress trying fill pocket end pandemic nothing see really,-0.0875
6,you all say covid backit never leave,0.0
7,sevenyear old murshidabad boy diagnose omicron release malda medical college hospital mmch thursday test negative rtpcr test,-0.06666666666666667
8,strand near kota damansara amp unable go home open new unused ward fo,-0.06590909090909092
9,see donotcomply tweet,0.0
10,ottawa advise canadians international travel many region plan bring back restriction slow omicron vari,0.04999999999999999
11,find covid please take shit serious you all crazy,-0.37777777777777777
12,mask protect wearer exude virus everyone come contact lie covid status remarkably irresponsible,0.75
13,time real debate access scarce resource nhs refuse wear mask vaccine time personal responsibility covidiot,0.1
14,literally attempt engage bame communities vaccine take low bollywood celebrity endorse random wedding venue mitcham quid rope vaccine drive celebscommunitie,-0.25
15,case fall lockdown implement amp peak death occur lockdown chance influence anything,0.0
16,I m nhs nurse accord uk prime minister first two vaccine work tory hope booster honestly know tgats nhs england,0.425
17,pandemic hypochondriac,0.0
18,match tonight double vaccinate i d advise get elland road morning pur,0.0
19,end pandemic primarily social amp political decision since technology eradicate virus must lear,0.016666666666666666
20,say something morally injurious urge cancel christmas plan do not get covid,0.0
21,current outbreak lassa fever part nasarawa state bring mind story illness get nam,0.0
22,covid really say hi circle back,0.1
23,time person year daughter full ppe work day day throughout pandemic fanta,0.35
24,one safe everyone safe high time speed international effort,0.29
25,still wait apology mark meadows mike pence keith kellogg amp fmr colleague trump white hous,0.0
26,bruce reed there s rugby yorkshire coast,0.0
27,yes careful need true leader,0.12499999999999999
28,really go year pandemic,0.2
29,break caliche layer seem like hard problem solve science create vaccine,-0.2916666666666667
30,you re right trump know danger yet decide lie danger public want criticize anyone direct ire towards dear leader,0.12857142857142856
31,people vaccinate still spread covid please retweet twitter ban we,0.0
32,like I ve say many time insanity do not end say there s thing circuit breaker,0.5
33,someone else run number use actual number,0.0
34,southwest airlines ceo gary kelly test positive coronavirus airline confirm friday day ap,0.22727272727272727
35,lockdown skipping right past learn new hobby phase go straight alcohol dru,0.09301948051948052
36,mask safe,0.5
37,vitamin improve immune response full stop specifically vaccine mean alllllll crossreactive abs tcell past make vaccine utterly useless,-0.178125
38,I m tired covid bullshit,-0.4
39,ontario receive million test week ago sit week that s test per adult,0.1
40,bro another lockdown I m develop new accent tf go to know,0.13636363636363635
