,full_text
0,people start break covid rule see privilege ignore daisy fancourt
1,vaccine finally politician government must vaccinate first nothing happen
2,spot
3,learn one people die two three week do not ask blamethevictim vi
4,break ontario break singleday record new case today death past
5,follow eric past year depress tweet I ve read add we whoa status he s wrong stayhome
6,ontario break singleday record new case death today
7,dabo swinney rank team end season that s bad time blame florida state prote
8,gov andrew cuomo today update new yorkers state progress ongoing
9,bluecheck reporter panic month help destroy small business surprise sad small businesse
10,federal judge scorch gov kristi noem covid response daily beast
11,piece today assert uk quietly update vaccination playbook allow mix matc
12,new variant covid covid test miss upto negative yet positive mask soci
13,side effect new vaccine result immune system activation uncomfortable
14,felony illinois assault retail worker enforce face mask
15,sarah gilbert oversee team actual work create oxford vaccine woman de
16,thisyou might read other ie surgeon take nursing shift help qualified experi
17,say u want beach open u guy crisis u know u would go court rest
18,fatigue resistance stayathome regulation huge number essential worker socioeconomic factor pandemic affect poor minority household play cali
19,world leader focus oppose nuclear warfare china silently blow economy continue think chemical weapon form poisonous gas chemical bomb china form virus real action war country
20,far pfizerbiontech authorize eu
21,flu nonexistent cos everyone wear mask social distancingbut covid control cos folk
22,could not put well
23,totally agree scary think good closing school get control xxx
24,trump one care child kid die watch detention center do not happen obama trying cut snap pandemic get crazy doctor perform unecessary hysterectomy border much fucking care
25,please reach counter protesters dc area drive message stay home january trump loo
26,one idiot need identify arrest sentencing community service covid ward th
27,let honest do not care we raven steeler still have not fine covid action
28,hate people dumb ass balloon shit quit fucking littering
29,health minister harsh vardhan promise provide covid vaccine free generous give scale th
30,new coronavirus variant contagious put nhs staff riskwe know coronavirus transmit via
31,woman come today covid test worry sick kid go amp catch woman
32,woman come today covid test worry sick kid go amp catch woman
33,get rid traitor democracy seditionhasconsequence
34,also gave we coronavirus kill we
35,piece today assert uk quietly update vaccination playbook allow mix matc
36,lockdownthe govt announce lockdown begin curfewonly essential servic
37,covid country people knee I ve never ever experience many frightened individual cata
38,patient compete ventilator overwhelm london icu wards
39,what s grow canada class divide entitle politician have not suffer single consequence covid
40,april new york city face terrifying smallpox outbreak day later city vaccinate million peopl
41,ecu without one top scorer tristen newton due covid protocol today per source
42,vaccine finally politician government must vaccinate first nothing happen
43,mcconnellhatesamerican mcconnellkillssickleave always protect donor corporation never people
44,covid icu today almost patient less year old previously fit young
45,whoaireland positivity rise mid december almost test also high even
46,kidney disease mean chance die get sister diabetes death rate considerably high sister motherinlaw die covid we people like f
47,late column sleep even pissed must let hook response reek arrogance th
