,full_text
0,run safely ask stall owner wear mask close nonresidential stall keep essential one open allow distancing make hand sanitiser available
1,remember meatpacke worker test positive covid least die
2,trump tool fool toolsandfool
3,hazzard exempt boat owner outside pittwater brad boat pittwaterto come pittwater lockdown north zone withdraw last minute midnight pittwater resident rob stokes complain
4,compressor freezer store hundred dose moderna vaccine stop workingwith minute
5,they re scared stay flip home I ve crap say healthy people
6,mitch mcconnell single big obstacle get real relief need thing today georgia vot
7,happy john wear mask cause cover ugly mug
8,bad incompetent make de blasio sound reasonablecuomo really bad someone
9,induction place list deem ineligible
10,georgia votersif you re line poll close pm stay right vote matter lon
11,guy blow hand lighting firework san antonio texas nationallockdown mondaythoughts san
12,exactly year ago dec first alarm sound china coronavirus would days
13,empire state development corporation announce new grant program tuesday provide grant hel
14,mass medium worst reporting first say tanya die covid say be not dead
15,please please take kenosha wisconsin bait today announcement cha
16,wtf hahahah hear wrong last person leave message byul like careful catch cold car
17,true sha
18,see you all tonight around pm est twitch twitchstreamer smallstreamer smallstreamer
19,imagine racist go way ensure people prepare food unvaccinated
20,hey baltimore check week schedule free community testing site none site require
21,roll stone report grammys originally schedule jan postpone due concern
22,first say australia compare covid response country say say comparable country strong record deal virus new zealand south korea japan taiwan similar time frame rollout lie
23,jesus christ ur program hell anyway go ahead call one conspiracy well humiliate timeline buddy
24,cherokee nation reserve first coronavirus vaccine cherokee speaker bid preserve centuriesol
25,day back work yesterday good news work wise initially top black ice encounter break wrist comedy home alone style fall outside work entrance hour covid aampe protocol break wrist nimble young man game wish cctv never leak
26,good netflix amazon prime show watch lockdown
27,pandemic please stop I m close live jungle
28,person still do not wear mask inside public building must stay home heshethey catch demand take care himherthemselve catch selfishness selfishness may harm healthcareworker overwhelm
29,georgia votersif you re line poll close pm stay right vote matter lon
30,there s also strong argument undermine health advice likely increase spread covid therefore
31,nite evwyone typical evnin ouse gardin ball bessie da lukout fer cat dats breakin lockdown rule
32,behind estate abuja sort mami market helpful lockdown wife go
33,urgh repugnant dangerous individual
34,utterly soul destroy patient say spend xmas day extended family everyone positive covid
