,full_text
0,last lockdown i d imagine
1,remember boris johnson tell parent send child school regardless covid fear like yester
2,good morning blink safe wear mask
3,accord speaker pelosi healthy americans must wear mask close small business stay home time
4,matthew christian do not see anyone could lift gospel sunday fight get rid
5,coronavirus one top story
6,you all tweet
7,abortion supporter can not force anything body choicealso abortion supporter people force
8,headline dining coronavirus pandemic picture scrummyninja vegaslocal bashninja vegas vegasnews lasvegas summerlin hendersonlv lasvegasstrip vegasstrong unlv vegaslocalnews
9,work wonder
10,smart step keep gov leg safe take action keep arizonan safe right nowou
11,england go new lockdown variant rampage
12,india tv editorinchief rajat sharma give birth viral false claim social medium country prebooke bha
13,tragedy overload hospital egypt patient icu ward die oxygen supply fail via denier denigrate traumatised staff familiesinna lillahi wa inna ilayhi rajiun
14,bodybag georgias republican senator invest bodybag january covid briefing please help spread wor
15,fascinating insight koreas covid precaution go viral different uk
16,covid relief bill go covid relief rest go seas foreign nation include chinathe swim
17,trump I m go go scotland property last day term can not arrest scotland declare month
18,be not use similar language amp description describe bumbling
19,make sure get lot sleep tonight next day end end ignore hype nothing reverse
20,I ve get lockdown starter pack ready
21,new arizona high rate world late data show
22,choice simpleperdueloeffler tax cut billionaire overturn election covid reliefossoffwar
23,tired corona bruh I m trynna go bowling sum
24,cent want go heaven mom five year old would say asmsg snrtg
25,love
26,department education absolute shamble mention university impact lockdown
27,wahala dey dey wear mask oh friend brother go nigeria december december contrac
28,onmymind striking similarity multisystem inflammatory syndrome child myocarditislike syndrome adult
29,report kevin durant quarantine seven day due contact trace exposure via
30,wisconsin pharmacist accuse sabotage dose vaccine admit conspiracy theorist p
31,get huge ass car wreck get lay due global pandemic thus uninsured unable pay bill remove shard glass rib cage le know snap pea grow garden say
32,ecuador get flu shot keep wear mask avoid crowd wash hand provide almost prot
33,case miss kelly loeffler oppose additional covid aid summer time husband megacompa
34,huhmaybe that s darn thing take longabpoli ableg cdnpoli
35,university student pandemic
36,u say take vaccine shoot despite cdc amp maker say need amp you re
37,concerned student btec exam come school lockdown btec student live birmingham someone shield please send we message might able offer assistance
38,test positive covid girl isolate ten day straight back lockdown wonder people end brink
39,mask categorically reduce oxygen saturation lie make excuse believe pande
40,leadership plan decency
41,independent monitor appoint federal judge say prioritize expedite administration vaccin
42,work preschool teacher charlotte north carolina two decade joe camp lay september amid co
43,choice simpleperdueloeffler tax cut billionaire overturn election covid reliefossoffwar
44,think see monday pandemic january monday follow new year monday mond
45,lock we till pattern do not even give we lockdown break need rescue summer
46,testing case death genius
47,trump I m go go scotland property last day term can not arrest scotland declare month
48,way prefer coronavirus police fucking hate virus least do not pretend help do not drive around neighborhood protect serve paint side kill movie death
49,remember uk originally alert level get bad invent
50,lockdown I m reposte uk number always abuse
51,mean sound insensitive keep people alive way long work long term care people do not recognize family cry scream night pain heavily medicate people die covid
52,really hate true promise already feel bad first person go hug
53,one five resident currently test infected bubble safe think do not
54,update uk alert level move level level mean number case rise
55,interesting seem accurate comparison
56,another national lockdown confirm one set last least six week time really come
57,family sad isolate christmas break due covid grinch snow start fall christmas eve know thing lift spirit don suit bring joy kcsselfcare
58,instant view england head new covid lockdown
59,gtgtgtgtambulance crew tell transport patient little chance survival
60,bill fight literally write bill
61,name tasneem black single mom baby gabriel desperate need help put roof ove
62,pharmacist arrest charge sabotage dose vaccine wisconsin hospital admit co
63,ny gov cuomo deny nycs request vaccinate people old despite fact city use
64,reach point national lockdown restriction need immediately ukg do must use ti
65,literally guidance video change ignore since come marchin course
66,wewantpspmonline nutshellmatric hey student please return campusstudent ok will not impossible fo
67,ltpulls hairgt two chucklefuck cool one fucking second oh god
68,accord ihs markit ph manufacturing purchasing manager index pmi deteriorate december attribute deterioration factor activity continue imposition lockdown restriction bad weather december
69,people wonderful virusfree china do not enjoy many freedom unlike america freedom move unles
70,reason bio say I m move post covid think hell haha
71,preposterous since chinese virus become south african virus deliberate misinformation need stop immediately
72,days tigray bank service electricity hospital service water amp food humanitarian service cellphone service transportation medium access school peacetigraygenocidewarcrimesontigraystopwarontigray
73,amazing tear lockdown cheer always
74,silver lining lockdown chance post clip
75,danger new covid variant be not severe contagious people get infect
76,really miss uk family friend think tonight head another lockdown travel safely alberta without put other risk hand first place I m head
77,good thing coronavirus become transmissible
78,morbid think find interesting federal provision make fund assist family
79,treat covid home share covid survivor grouphow fight covid homeno one ever talk ab
80,choice simpleperdueloeffler tax cut billionaire overturn election covid reliefossoffwar
81,democrats good thing wednesday stay home do not go anywhere near dc there s absolutely reason
82,you re influencer la you re still collabe people outside household genuinely hope you re
83,choice simpleperdueloeffler tax cut billionaire overturn election covid reliefossoffwar
84,you all tweet
85,yes please speak empathy talk covid number actually real people real love one whose life affect
86,left wing bbc trying start panic buyingdo shame care people live long blame government
87,tell people wear mask
88,china assert pandemic likely cause separate outbreak multiple place
89,dudley mcclurkin sherwood arkansas die covid oct never meet strange amp always life
90,hate say hope do not sound ridiculous need start flog people medicalscientifi
91,monday wisconsin department health service report additional new confirm case state average new case per day last
92,new south wales opposition leader jodi mckay say lockdown possible stop spread community would great sydney
93,abortion supporter can not force anything body choicealso abortion supporter people force
94,financial express online question whether right think approval grant base phase ii datum alone say approval base phase ii datum alone base extremely good amp prove technology platform
95,meet boris johnsons new goal exit lockdown matt hancock need get vaccination week million
96,primary school closure could result million year life lose child across we click read studys finding mede
97,food shortage malaysia real possibility due pandemic muhyiddin heed advice latemore
98,travel please consult british government website check condition enter
99,uk pm boris johnson announce third national lockdown england monday people must stay home exceptessential worker can not work homeshoppe necessitiesto exercise per dayto provide care vulnerable peopleto get medical care
100,popular australian jewellery retailer force close uk store due new lockdown spark surge
101,aussie legend eric bana say owe wife big time
102,albertan every right expect people position public trust hold high standard conduct c
103,word incorrect work may make call intimidate people attempt overturn legitimate election even plan escape usa probably work defeat coronavirus expedite vaccine deployment
104,whitefish city council consider emergency ordinance ensure continuation precaution health safety citizen visitor require use face covering certain setting
105,accord covid tracking project disruption holiday testing reporting will not well midjanuary we could know bad holiday wave washttpstcomaiqcivrgj
106,va end coronavirus death infection
107,understand longterm effect formally evaluate vaccine broad population macarthur fellow other choice new vaccine macfellow via
108,grow list mayor country already announce free vaccine resident via
109,pandemic accelerate nationwide trend resident flee large metro area search affordability well quality life many choose relocate idaho accord recent study national move company
110,health system across state prepare administer second dose pfizer vaccine begin process monday exactly day first round vaccination
111,africa covid variant infectious uk strain hancock coronavirus pandemic news al jazeera
112,inside texas capitol monday sure see everyone facemask wear green sticker shirt test negative part recommend testing go inside
113,rent reprieve illinois resident impact coronavirus pandemic avoid eviction little
114,happy announce get covid vaccine todayi get dave buster ticket
115,three josephine county individual die complication relate infectionshttpstcoxpqeowdnqs
116,little bit difference two party wisconsin try covid relief
117,houston methodist hospital worker look forward extra cash march long get vaccine
118,reach office morning appearance never hear back
