Unnamed: 0,full_text,sentiment_score
91,announce healthcaremarketplace special open enrollment period feb may need coverage want update existing plan help enroll online phone aoi office aoi adhere cdc covid guideline,0.17857142857142858
92,minister point deprive area worst hit virus,-1.0
93,local hospital quietest ever none crowd one icu covid,0.0
94,scientist who s right vaccine predict what s next via,0.14285714285714285
95,remind strictly follow precautionary preventive measure mosque prayer facility especially attend friday prayershave safe time moiqatar iwearamask qatar,0.25
96,move radio friday lockdown dancing jean,0.0
97,medical researcher believe pfizer shot key end global pandemic follow promising result widespread vaccination israelwatch,0.05
98,good morning one hope you re alreethere question think honour lose life terrible pandemicsupportyourlocal digital subscription,-0.10000000000000002
99,issue gain popularity recent month grocery store worker restaurant staff frontline employee continue bear outsized share pandemic hardship,0.0
100,new coronavirus variant identify new,0.13636363636363635
101,sale friendly soap travel soap bar body hair amp clothe versatile soap weekend away perfect end lockdown long check rest sale website,0.44166666666666665
102,area report fall infection apart httpstconzsmhqcbfa,0.0
103,consecutive week covid infection plummet worldwide,0.0
104,say working commission manage regional covid vaccine donation,0.0
105,boy hand leg amputate misc diagnosis read,0.0
106,amid pandemic corruption perform well hungary orbanistan,0.0
107,time temp wind sw pressure rain hum et solar uv index sunrise sunset cloudbase conlig bangor stayathome,0.0
108,current condition sayre patemp chill point barometer inhgwind mph nnwcorona virus weekly statscase nepa bradfordcounty,0.0
109,reminder health innovation reach everyone time government take stand join webinar today discuss trip waiver amp implication africa learn amp register tripswaiver,0.0
110,india crisis month ago covid case,0.0
111,today malaysian grandfather nickname dr ganja head back court severe delay due pandemic crime,-0.0625
112,covid joke bts need address disappear really feel like armys scream voi,0.2
113,bad year flu kill uk alone strangely enough main group covid danger exactly ie elderly people poor healthjust say people die do not make true either,-0.055555555555555546
114,pandemic lead accelerate adoption virtual health momentum continue build heres health system could use grow acceptance virtual health transform delivery model,0.0
115,right wrong way cope hcahealthcare,-0.10714285714285715
116,techforgood delivery drone startup modify drone deliver vaccine,0.0
117,propaganda campaign make ill exactly camp run exactly people bad trump,-0.15999999999999998
118,afp ready help vaccination drive inoculate member say spokesman spokesperson maj gen edgard areval,0.2
119,exclusive amazon open onsite testing hardware engineer employee file internal safety complaint,-0.09999999999999999
120,sharp increase covid case maharashtra urge extension income tax return file due,-0.125
121,maharashtra govt say close cinema hall completely say zee businesspvr inox day low,0.05
122,february ccaawarenessmonthwe may lockdown still join raise awareness cholangiocarcinoma wear purple throughout month info follow visit,0.0
123,pandemic I m go to blame parliamentarian every time want cancel plan,0.0
124,jesuswe worry hurt bit complex thatwhat hell going really get sinister use queen push narrative,-0.19999999999999998
125,coronavirus glass wearer less likely get covid study say,-0.08333333333333333
126,dharavi asias large densely populated urban slum successfully contain innovative pu,0.3660714285714286
127,senator bong go stress need comprehensive information campaign program government official volunteer take vaccine public boost public confidence vaccinesread,0.0
128,thank amp prime minister support vaccinequity commitment covax share vaccine,0.0
129,need travel safe travel pledge explain help travel safely train travelsafelyi info,0.5
130,need travel safe travel pledge explain help travel safely train travelsafelyi info,0.5
131,need travel safe travel pledge explain help travel safely train travelsafelyi info,0.5
132,continue target asian community association unacceptable stopracism,0.0
133,do not talk peasant,0.0
134,struggle come challenge impose education system dr manju singh joint secret,-0.4
135,assad collateral damage,0.0
136,bring back,0.0
137,legal requirement wear face cover board vessel mean passenger must keep face mask time leave ship side journey,-0.056249999999999994
138,amid pandemic flu disappear we,0.0
