Unnamed: 0,full_text,sentiment_score
0,social distancing also call physical distancing mean keep safe space people household,0.05520833333333333
1,turn today nightmare month safely say family lucky one thread test pos,0.41666666666666663
2,another day another fugging cosplay outfit johnson never tire dress he s never could,0.0
3,master cross vijay film collection tamilnadu behind really unbelievable percent capa,-0.21666666666666667
4,french restaurant owner open defiance lockdown monday punish say economy minister,0.0
5,daughter work entire pandemic florida grocery store,0.0
6,pretend surprised,0.1
7,close valuable security cooperation continue also discuss healthcare cooperation context,0.0
8,still coronavirus act wield dissident,0.0
9,tell hollywood nobody want see pandemic tv depress unemployed existentially pl,-0.06666666666666667
10,wildly irresponsible thing say pandemic say expert air quote sound like I m say,0.25
11,covid stop priest priestly thingsand even decorate suitsolespain,0.0
12,andy slavitt announce home test kit able detect virus self perform,0.5
13,think buy exclusive right develop movie coronavirus,0.2857142857142857
14,invent new covid test free feel completely well even area high covid prevalence false negative rate less charge royalty turn app help,-0.010043290043290048
15,keythe pandemic force entire whitecollar economy join hand jump remote work coordination p,-0.05
16,mondaymotivation mondaymorne writingcommunity hope well I ve hard accomplish much I d like pandemic really speak morning,0.036111111111111115
17,sad storycovid real need everything protect know what s go around much long covid mental healthwe need multifaceted approach covid close everything,-0.11249999999999999
18,anyone else absolutely sick government push mindfulness meditation go walk narrative,-0.7142857142857143
19,hate roman want man amazing ownernot he s do nhs pandemic holocaust,-0.09999999999999998
20,uk take risk french remarkable new attack uk vaccine ignore scientist tell,0.29545454545454547
21,andy slavitt announce home test kit able detect virus self perform,0.5
22,irancoronavirus death,0.0
23,senate move make reconciliation available vehicle week harm take meet matte,0.4
24,madrid relax restaurant rule help business push back political pressure despite high infection,0.05333333333333334
25,manchin slam vp pressure senate vice pres kamala harris interview local west virginia tv station,0.0
26,woman kinda dig giftidea ya know guy follow twitter valentinesdaygift covid gift,0.0
27,pass comprehensive relief package mitch mcconnell do not vote stop we,0.0
28,today begin childrensmentalhealthawarenessweek great time check everymindmatter,0.8
29,cook food lot store area polish arab population get day quite happy america social place I m antisocial covid minor issue book,0.2611111111111111
30,exclusive human right watchdog boss accuse double lockdown breachmore claim emerge highprofile c,0.09523809523809523
31,hope she s well you all goodbut stay calm okay it ll fine lmaoi might sound stupid say literally fluwere pretty young get we d back foot two three weekseven immune system bad you re,0.0518518518518519
32,cocktail first date lockdown,0.25
33,useful advice help child lockdown,0.3
34,amp trump amp trumpster single handedly amp purposefully killedthousand people wsuper spreader,-0.07142857142857142
35,isle man today lift lockdown restriction pursue new zealandstyle zero covid strategy,0.13636363636363635
36,tdb wi pharmacist sabotage hundred dose moderna coronavirus vaccine bc think hoax,0.0
37,kana do not control body small small cooking tired two day imagine,-0.3
38,democrats climate agenda mimic covid tyranny feb will not pretty read,-0.125
39,need dat,0.0
40,announcement hhsdefense approve new overthecounter selfadministered covid test say,0.13636363636363635
41,heres bit welcome good newsthe biden administration announce counter covid test,0.75
42,less quarter fraction wealth three current billionaire nigeria fund purchase,-0.08333333333333333
43,election tell albertan would not touch healthcare middle pandemic bad healthcare day come power,-0.3499999999999999
44,americans can not wait relief can not survive pittance republican willing throw mana,0.25
45,amazon worker face exact voter suppression tactic trump use electionamazon try force inperson vote unionization hope use threat keep worker participate,0.25
46,uk patient die needlessly due unfounded fear ventilator,-0.125
47,clearthe gop try block biden covid stimulus plan know concern cost,0.0
48,million people nigeria covid vaccine distribute unless least people,-0.3
49,biden administration confirm million dose vaccine missingseveral week,0.0
50,fyi dashboard update track prison amp jail vaccination datum get,-0.1
51,gamal lockdown egypt two year see husband prioritizefamilysponsorship,0.0
52,case fall vaccine rollout go really well r go well oh hang,0.2
53,student faculty staff celebrate blackhistorymonth wide range cultural educational activity,0.08333333333333333
54,covid joke somehow malaysia take joke I m do,0.0
55,break group republican senator release counterproposal biden covid relief plan,0.0
56,first day want give huge shout little lockdown hero,0.1541666666666667
57,inbox dhhs sec mandy cohen host fireside chat covid vaccines rev william barber ncpol,-0.1
58,seem belief she s never happy mind restriction amp death would well maybe good friend justin stop international air travel new variant covid would not course that s agenda,0.10909090909090907
59,last summer promise master sooraraipottru jagamethandhiram cobra later covid happen year,0.0
60,covid dry run do democratsto force socialism countrydo comply,-0.06666666666666665
61,racist state go,0.0
62,watch make fox debut discuss covid relief white house service,0.0
63,february update niagara active case count sit,-0.13333333333333333
64,concerned health safety employee pandemic help mitigate risk onsite testing employee connect we today get start,0.0
65,question every piece legislation need senate vote,0.0
66,many uk base scientist notably shadow group independent sage urge government,0.04999999999999999
67,black people make nycs population make adult city who ve receive coronavirus vaccin,-0.033333333333333326
68,current law ie without relief legislation congress,0.0
69,thanksi knowsocial distance key,0.0
70,could really use virtual love right tweet morning lose father covid people,0.32857142857142857
71,new piece wife one former grad studentswater sanitation hygiene wash insecurity exacerb,0.06818181818181818
72,protest increase brazil bolsonaro response demand resignation grow,0.0
73,wv gov jim justice r covid bill need go big waste money well waste,-0.13333333333333333
74,impossible look covid data florida california new york come honest conclusion lockdown,0.023232323232323233
75,important newswhite house task force announce first overthecounter athome minute covid test kit,0.325
76,andy slavitt announce home test kit able detect virus self perform,0.5
77,isle man lift lockdown restriction pub open mask scrap,0.0
78,covid japan uk,0.0
79,straight quarter go,0.2
80,stay informed fro membership wscci,0.0
81,fascinated question never ask reverse senate republicans make counteroffer that s less,-0.16666666666666666
82,pandemic really do awful thing ppls mental health especially still work sad,-0.4
83,touching purpose covid relief packagego big go homespeakerpelosi,0.25
84,immediate covid relief gt bipartisan unity pass,0.0
85,I ve offline day namjoon know probably will not see really hope know much bts,0.2
86,announcement hhsdefense approve new overthecounter selfadministered covid test say,0.13636363636363635
87,speak essentialworker march go back group ten month pandemic take toll,0.0
88,celebrity hairstylist reveal trim fringe lockdown,0.0
89,foodinsecurity lack food also inability get enough food sadly pandemicrelate job loss force many prioritize rent meal listen panel discuss way provider help member,0.0
90,listen governor west virginia say msnbc go big covid relief bill stop pussyfoot around republicans willing let people die save money people state state hurt,0.125
91,devastating toll pandemic child nicktriggle many expert baffle approach children,-0.25
92,conservative rule do not steal need steal,0.0
93,west virginias gop gov jim justice covid relief absolutely believe need go big tell msnbc,0.1
94,everybody jump promise make easy money especially since covid there s flood mediocre subpar bad content even well know name great set professional crew often deliver quality expect,0.022222222222222258
95,ram covid relief plan like tax cut rich,0.375
96,today challenge debate scotlands futurescottorie want focus recovery snp pla,0.0
97,delhi cm arvind kejriwal interact principal private school delhi tomorrow discuss reform way forw,0.0
98,announcement hhsdefense approve new overthecounter selfadministered covid test say,0.13636363636363635
99,covid perspectiveas average brit chance die covid today die,-0.15
100,democrats end go reconciliation route covid relief joe manchin governor call big relief b,0.0
101,historic decimation black community across americawowremind death ratethis may,-0.08333333333333333
102,hard grasp china wants dominate global commerce every possible way see act dishonestl,-0.02291666666666667
103,barbados trend day amp scared see extra old guy go vaca amp end,0.05
104,quite time currently live,0.13636363636363635
105,refuse wear mask will not take test complain baby wipe jail late tale,-0.2
106,plot referendum pandemic brazen selfinterest hope snp least feel shame abuse trust,-0.3
107,covid exist movie tv world do not want see lol,0.8
108,lockdown vibe borisjohnson,0.0
109,andy slavitt announce pentagon amp hhs strike million deal australian company ellume make mi,0.0
110,speak california january double monthly record death pandemic,0.0
111,genuinely deady pandemic do not require government ad campaign remind,0.4
112,amazing task force provide actual information discuss real science fantasy reality show episo,0.26666666666666666
113,andy slavitt announce pentagon amp hhs strike million deal australian company ellume make mi,0.0
114,steven mnuchin funnel ppp covid relief loan give million jared kushner devin nunes betsy,0.0
115,remember dennis brown birthday here money pocket totp full video part lo,0.35
116,fantastic development test already authorize home use without prescription include child people,0.4
117,also think doomsday take people flee top tier city overblown remind hot take density covid killeruntil place like dakota end high case load,0.30333333333333334
118,pandemicravaged economy government focusse infrastructure spur spend record allocation road railway privatise port management power distribution budgetwithforbesindhttpstcomjesybclae,0.0
119,steve hilton find stunning revelation specific activity dr fauci fund terrifyinghttps,0.25
120,journalism pandemic mooc available selfdirected course language include arabic amp russianhttpstcoiqmbbjvpun,0.4
121,announce february hearing protect transportation worker passenger,0.0
122,lesson learn pandemic schoolingonesizefitsall do not worktechnology access paramountrelationship build crucial,0.0
123,early pandemic unemployment number improve summer business slowly reopen one group have not benefit,-0.10000000000000002
124,foreign minister shah mahmood qureshi express gratitude chinese government provide first batch coronavirus vaccine call practical proof pakchina friendshippakistan china,0.041666666666666664
125,fitness industry one hard hit affiliate owner high hope postnew year rush speak several owner learn gym experience rush other nothttpstcopddxrcomaw,-0.06416666666666668
126,andy slavitt announce home test kit able detect virus self perform,0.5
127,sexual health matter take control sex life mean know hiv prevention option like use condom take prep make good decision explore option,0.29583333333333334
128,lucky healthcare hero rj gardner gmfb todayhe talk we like run covid unit experience we coast guard life like travel nurse pandemic surprise rj head sblv ayahealthcare,0.3333333333333333
129,agree trump crime family sell pay debt,0.0
130,podcast episode listener hear new partnership epa osha virginias new permanent workplace safety standard industrial worker able get coronavirus,0.19318181818181818
131,protect help stop spread make stayhome savelive protectthenhs,0.0
132,leader region include el paso las cruces ciudad juarez cope pandemic immigration find episode builtintheborderland,0.0
133,biden administration confirm million dose vaccine missingseveral week,0.0
134,expert monday visit wuhan center disease control prevention cdc hubei provincial cdc study early case sample datum also go laboratory include biosafety level three lab flu reference lab speak local peer,0.0
135,metallic punk trio drop sophomore rager pandemic frustration societal grievance,0.0
136,ecdc credit ireland give double vaccine dose actually administeredtracker say state give jabs hse say givenvaccine,0.0
137,new covid regulation alert,0.13636363636363635
138,sometimes illness blind white brilliance marble shave edge razor sharp time fog mind tear page muck bird shit weave twig,-0.20625
139,rummenigge whether there ll big transfer addition upamecano well do transfer plan,0.0
140,tension rise nurse worker iran protest unfair working condition iranian government need step help work provide family difficult timeiran,-0.5
141,captain tom moore hospitalise age,0.0
142,covid highlight importance community amp sense belong also exist divisionswhy be not architect amp planner train understand social context amp impact designwe amp other take step rectify amp report progress,-0.04583333333333334
143,use standardized protocol minimize risk spread early bedside surgical tracheotomy may safe strategy reduce time mechanical ventilation spare intensive care unit bed pandemic,0.3
144,prolonged attunement digital learning read experience fundamentally change definition read extension thinkingshana hadi narrate pandemic affect literary endeavor httpstcorwmnhxeybw,0.05
145,kavitapmd crush america president biden health care change,0.0
146,application opengreat news support family san leandro financial assistance pay rent visit sanleandro,0.0
147,new case windsor essex monday yqg,0.13636363636363635
148,ninemonth sale jump trillion yen billion,0.0
149,britain step mass testing number area across country include london find increase number novel coronavirus case link southafrican variantvisit publichealth england,0.0
150,woman amp pandemic debut tonight cbs,0.0
151,demand clearly impact likely lead homeowner choose move work home continue drive sale,0.05000000000000001
152,covid case india case test india bot,0.0
153,nejm catalyst insight council member say exacerbate longstanding problem burnout among physician nurse,0.0
154,dprk import million pound sugar thousand tire china decemberlargediameter tire certainly raise eyebrow give north koreas continue push mass production large ballistic missile launcher say,0.21428571428571427
155,awful year many people think lockdown change mindset massively mindset I ve got think blessing rugbyleague,-0.16666666666666666
156,sb county rev vaccine delivery make appointment vaccine need assistance make appointment online please call hotline,0.0
157,turn can not covid vaccine refuse take photo appointment card,0.0
158,follow live blog late todays press conference,-0.08181818181818182
159,likely get seriously ill covid accord expert charity child bear brunt pandemicproblem like mental health issue abuse neglect even harm development baby,-0.19999999999999998
160,south africa covid variant surge testing uk httpstcobwjcesmesv,0.0
161,follow live blog late todays press conference,-0.08181818181818182
162,dawwwww world ownership get today poor creature sooooo hard shuck,-0.3458333333333333
