Unnamed: 0,full_text,sentiment_score
0,select local healthcare hero attend super bowl lv tampa guest team guest invite r,0.16666666666666666
1,middle class expect every year expectation tax would zero year,0.0
2,covid joke somehow malaysia take joke I m do,0.0
3,yet third high number case covid world english like abuse dog lap snarl heartily sick borishasfailedthenation,-0.13857142857142857
4,stayhome amp safe tweetersnight night love kitts nowplaying kittsmixthe spencer davis group gimme lovin,0.5
5,disparity vaccine access wealthy country poor middleincome nation may soon become catastrophic mor,0.04999999999999999
6,thank still get practice loopy climate science denier selfish mad libertarian pandemic denialist also par,-0.5625
7,biden administration confirm million dose vaccine missingseveral week,0.0
8,pre covid,0.0
9,robredo what s alarming probably last recover quality pandemic response,-0.05
10,hope everybody take care boring covid mew give power mewxpopteen,-1.0
11,executive order daysthousand job loststock market tanksthousand die covid planno,0.0
12,I m foreign nhs healthcare worker work tirelessly day amp day pandemic would take,-0.125
13,millwall v norwich fantastic guest great cause rip ty hemblade support effort millwall,0.6000000000000001
14,fm announce cr money spend pvt vaccine company untested vaccine time covid natur,0.0
15,doubt anti masker bet one moron can not follow god damn rule government moron obsess kill government follow rule hard stayathome hard follow,-0.5458333333333334
16,great hear mpumelelo mbangwa back commentary booth recover modc,0.4
17,decade researcher proposingand rejectedmore efficient way board plane global pandemic do,0.0
18,number chronically hungry people last year million number case,0.0
19,pandemic,0.0
20,btstwts dynamite mv outfit successfully buy japanese entrepreneur yusaku maezawa amp youtuber hikakin,0.375
21,delegitimisation israel continue administer vaccine palestinians even though,0.0
22,abyss share impact pandemic hadeven superstar like btson mental health artist drive envisi,-0.1
23,foccusse intervention towards get woman back workfoce worst hit pandemic completel,-0.5
24,area super bad choice work grocery clerk wish could stay home vaccine yet got cuss work today ask guy please pull mask nose,-0.18333333333333326
25,compare housing activist treat police olympia farright trump supporter conspiracy theoris,0.0
26,good news covid cess wealth tax estate duty hike,0.7
27,ppl watch ppl die covid I m let dictate life I m go clubalso ppl read,0.0
28,masterhistoricvictoryvideo report singlehandedly revive kollywood theatrical,0.0
29,captain tom moore hospital treat bet nurse dote himhe symbol hope,0.0
30,cryosat anniversary science conference june line event,0.0
31,ramaphosa pressure ease lockdown restriction south africa via,0.0
32,option exit uk pandemiccompare new tool vaccine new challenge,0.13636363636363635
33,lmao subject already hell add pandemic pray current future law student,0.10833333333333334
34,snp talk referendum christmas education job covid recover,0.0
35,give onetime payment month onetime payment nine month onetime,0.0
36,mask kahan h inke social distancing,0.03333333333333333
37,short do not know answer question yet use human guinea pig,0.0
38,march walk cancer aid cancer research minimum step everyday march kn,-0.2
39,hard understand government make fun government failing,0.004166666666666652
40,josep maria bartomeu former barca president totally false leak messis contract leo deserve,-0.20000000000000004
41,unbelievable continue give oxygen ccp propaganda covid lie biden admin rethink rejoin,-0.175
42,ryanair expect lose much billion year march resurgence case prompt new trave,0.16818181818181818
43,pointing listen science I ve hear scince start pandemic,0.0
44,wear mask save liveskiss ass,0.0
45,gop senator accept biden white house invite discuss relief,0.0
46,exciting moment amshad first mrc volunteer receive vaccinehe work frontl,0.275
47,biden administration announce friday expand pandemic ebt benefit infant young child part,0.1
48,last year promote studentsthen corona case countryand today whe,0.0
49,sydney get new case whole state go strict lockdown new zealand get new case whole country,0.1618181818181818
50,ask stay home unsafe homescofounder uk cladding action group william martin say,0.1
51,idol star championship recently film highlight yoon dujun shinee minho itzy yeji lia apink yoon bomi oh,0.0
52,ema say pfizer vaccine safe related death read news,0.25
53,bad there s much hatred bill gate conspiracy theory want micro chip we actually he s j,-0.1666666666666666
54,thank sen kaine raise issue sec good start much support need easy way israel cede responsibility palestinians west bank gaza end occupation,0.30833333333333335
55,,0.0
56,well lockdown rinse repeat,0.0
57,executive order daysthousand job loststock market tanksthousand die covid planno,0.0
58,fairness joe biden can not remember time hell going know million va,0.0
59,one lovely student nadhira create poster weekend savethenhs thankyounhs nhs nhsheroe cov,0.5
60,speak big thinker world coronavirus might look like learn,0.0
61,covid death journalist well mention boris johnsonfebsaid want uk loose react,-0.07692307692307693
62,imagine kind decision people would make know ongoing direct monthly financial help throu,0.2333333333333333
63,childrensmentalhealthweek lockdown challenge great resource support young one feel low change challenge right,0.29642857142857143
64,way dorky ever hang cut school lot stay home watch tv,0.0
65,tell grandma something similar say work office could get job anywhere madam understand second get bored get go run around amusement park correct,-0.16666666666666666
66,biden admin make report public see already suspect read reportscs dark,-0.075
67,give onetime payment month onetime payment nine month onetime,0.0
68,alcoholbased hand sanitizer show effective tool combat infection due harmful germ extremely,0.11666666666666665
69,gop senator accept biden white house invite discuss relief,0.0
70,anyone ever tell exhausting insurance company blame medical pricing doctor research secondly covid deadly rhetoric go get people kill hand day die never forget,-0.15000000000000002
71,exceptionally poor taste use pandemic transfer even wealth wage earner owner capita,-0.4
72,I ve provide rs crore covid vaccine I m commit provide fund require total bu,0.0
73,quarantine use keep someone might expose away other follow selfquarantine procedure help stop spread coronavirus coronavirus coronavirusoutbreak,-0.125
74,quarantine use keep someone might expose away other follow selfquarantine procedure help stop spread coronavirus coronavirus coronavirusoutbreak,-0.125
75,dear ask urgently increase fund health education amp social service protect child violence hiddenhero ittakesaworld,0.03333333333333333
76,asos buy topshop topman miss selfridge dealbut agreement cover chain store put thousand job riskarcadia group collapse administration last year blame impact,0.0
77,recent report cancer australia reveal many people may melanoma right know melanoma patient australia concern thousand australians undiagnosed melanoma due covid pandemic,0.16517857142857142
78,every action count part play reduce spread virus stick rule stop spreadanyone spread coronavirus good thing stay homestay homeprotect nhssave life,0.39999999999999997
79,north koreas border lockdown may threaten outbreak virus neighboring chinajilin province locate mile away report positive case jan true number may four five time,0.28863636363636364
80,tkp newsletter tkp central committee report pandemic httpstconxzpfjnqno,0.0
81,fundraiser launch help,0.0
82,billionaireboy live stagecoming venue easterweve team bestselle children author bring brandnew covidsafe carparkparty production billionaire boy come easter friday sunday april,0.13636363636363635
83,million australians begin first full day strict coronavirus lockdown monday follow discovery one case community perth capital western australia state new case since,0.18409090909090908
84,monday recyclesites advice open essential visit storage firehealth risk safety step social distancing washsanitise hand wear glove consider mask max two vehiclelatest,0.011111111111111112
85,scientist develop vaccine less year identify reflection remarkable progress vaccine technology progress vaccine distribution another,0.2916666666666667
86,almost fall omg slippery you all well stay home,0.0
87,new week new usegalaxy webinar wednesday cet free everyonesupporte datum portal viral datum clean human read submission european nucleotide archive enahttpstcoxcjpujtixxelixirnodebe denbi,0.17323232323232327
88,you re happy promote something do not even stop people covid exactly you ve sell know shame,0.525
89,asos buy topshop topman miss selfridge dealbut agreement cover chain store put thousand job riskarcadia group collapse administration last year blame impact,0.0
90,,0.0
91,lockdown diary day quarantine do not know silver holdingstay tune dispatch radio free diablo county,0.4
92,coronavirus ireland heaving croke park easter false promise say nphet experthttpstcocctyaptwaq,-0.4000000000000001
93,coronavirus oxfordshire death map late,-0.3
94,report online poll conduct uk show british public already would vaccine december say would vaccinate december read,0.0
95,week want share reason need address loneliness quarantine fatigue pandemic fatigue feel lonely bad cigarette per day lead depression cardiovascular disease perhaps even,-0.3999999999999999
96,sea people fill street jerusalem thousand orthodox jews pay last respect local rabbi despite covidmore,-0.06666666666666667
97,thai health promotion foundation state people underlie disease group noncommunicable disease ncds may high chance complication severe symptom infect virus,0.16
98,pandemic magnify reliance remote device workdid expose hole workflowready digital transformationcheck submission digitaltransformation,-0.05
99,freaking rule immediate family put partiality continuous loss since lockdown family apart suffer anxiety stress allow partner exemption alexhawkemp julianhillmp,0.0
100,vaccine zero effectiveness will not access will not able afford need,-0.25
101,variant escape immune system mutation immunesystem pandemic via,0.0
102,drama western australia spill states premier snipe home affair minister peter dutton amid fear outbreak,0.0
103,young people face enough challenge day without also cope pandemic shatter world many different wayswrite elizabeth smithhttpstcoffpzqkziup,0.15
104,fundraiser launch help,0.0
105,order minimise spread virus much possible important stay homedo bit help nhs stay home stay safestickwithit,0.2
106,still time register virtual industry event survive thrive take place morning join we announce plan help industry survive crisis begin journey recovery tourismtogether,0.0
107,one large vaccination site we shut temporarily saturday protester block entrance dodger stadium los angeles antivaccine farright group attend protest vaccine restriction protest covid,0.21428571428571427
108,I m sweat goodness sakes greg kinnear tell press interview go amid talk stand,0.0
109,robotic amp automation industry post via youtube automation robotic thoughtleading irishmanufacture technology irishengineere,-0.1
110,exclusive school could lose thousand pound change way fund covid testing allocat,0.0
111,change since first brum lockdown stay we,0.25
112,important remember nhs see safely screen routine appointment please make sure attendplease read late guidance ahead visit,0.27499999999999997
113,intend address story african version vaccine compromise,0.0
114,covid case india case test india bot,0.0
115,ceo key thing everyone work response conflict context must pay attention,0.0
