,created_at,full_text,sentiment_score
0,2020-11-24 10:59:54+00:00,girlsummitugwe regional summitshappening districtsmbarara maracha gulu kabarole amp mbaleamaniinitiat,0.0
1,2020-11-24 10:59:54+00:00,trump supporter well even think blame dem lockdown wear fucking mask idiot,-0.7
2,2020-11-24 10:59:54+00:00,please watch expert witness ongoing witness panel german covid case,0.0
3,2020-11-24 10:59:54+00:00,disgrace home amp abroad ashamed child cardboard instea,0.0
4,2020-11-24 10:59:55+00:00,since outbreak pandemic amp lockdown measure increase number child marriage,0.0
5,2020-11-24 10:59:55+00:00,avoid cs combat,0.0
6,2020-11-24 10:59:55+00:00,international scientific collaboration enable oxford vaccine least scientist work covi,-0.15
7,2020-11-24 10:59:55+00:00,ucd alumna irish scientist tess lambe discuss part play design oxford vaccine think effective ucddublin,0.3
8,2020-11-24 10:59:55+00:00,anger guide exactly choose I m go continue sit watch idiot do not give shit people use statistic they re sad stay home crazy theory communism piss,-0.425
9,2020-11-24 10:59:55+00:00,ppl actually like school cuz get see friend mean love friend I d rather stay home,0.0625
10,2020-11-24 10:59:55+00:00,well disagree wear mask comply current social norm science show complete waste time anyway good day,0.12666666666666665
11,2020-11-24 10:59:55+00:00,fan may order sing shout drink alcohol allow return premier league match,0.0
12,2020-11-24 10:59:55+00:00,do not saylockdownrestaurantsgavinnewsom,0.0
13,2020-11-24 10:59:55+00:00,I ve also need express discontent job baffle people dollar spend layaway wake complain can not afford rent especially pandemic like need fuck priority bub,-0.2
14,2020-11-24 10:59:55+00:00,negative test thanksgiving be not allclear vox,-0.3
15,2020-11-24 10:59:55+00:00,thanksgiving pandemic never forget mitch take senate vacation skip meal feed,0.0
16,2020-11-24 10:59:55+00:00,need get test covid need stay home get negative result do not matter you re,-0.3
17,2020-11-24 10:59:55+00:00,joe biden coronavirus team donald trumps team coronaviru that s tweet,0.0
18,2020-11-24 10:59:55+00:00,take part year escaidetake look infostand platform host entire event prepare recent info eaad othersclick work register participant,0.0
19,2020-11-24 10:59:55+00:00,vice presidentelect spend afternoon meeting bipartisan group mayor start,0.0
20,2020-11-24 10:59:55+00:00,covid brutal disease would not wish worst bad enemy please understand be not p,-0.8583333333333333
21,2020-11-24 10:59:55+00:00,know tailor affect lockdown amp need job pls send contact dm ill employ,-0.5
22,2020-11-24 10:59:55+00:00,everyone stay safe ok rn pray everyones punya keselamatan teruskan rakyatjagarakyat,0.5
23,2020-11-24 10:59:55+00:00,u violently oppose covid vaccine u be not sure what s ok toss back mm robinson,-0.1375
24,2020-11-24 10:59:56+00:00,thank god always give we opportunity learn wisdom despite pandemic puredoctrinesofchrist,0.0
25,2020-11-24 10:59:56+00:00,great plague spread four time fast black death year early researcher,0.23333333333333334
26,2020-11-24 10:59:56+00:00,wakeupatl recent surge case here look metroatlanta large school district plan,0.10714285714285714
27,2020-11-24 10:59:56+00:00,genuinely confuse safe travel venue pub restaurant etc nearby,0.45
28,2020-11-24 10:59:56+00:00,teratai cluster top glove worker case total cluster large seri petale tabligh c,0.2380952380952381
29,2020-11-24 10:59:56+00:00,never debate wearamask stayathome savelive nurseseverywhere thankyou savehealthcareworkers nurse almostthere maskup,0.0
30,2020-11-24 10:59:56+00:00,brokerage expect ebitda recovery percent aviation stock precovid level,0.0
31,2020-11-24 10:59:57+00:00,stop covid lie that s need happen lift lockdown stop mass hysteria tptb engineer,0.0
32,2020-11-24 10:59:57+00:00,november newsletter travel memory cranberry sauce covid update,0.0
33,2020-11-24 10:59:57+00:00,unlike woli agba yeye influencer like never tell th,0.0
34,2020-11-24 10:59:57+00:00,day thanksgive new travel mandate place people scramble get test,0.13636363636363635
35,2020-11-24 10:59:57+00:00,coronaviru surge restaurant bar close home friend family offlimit hate cold mean social life doom practice consistently train cold potentially transform lonesome indoor winter,-0.28988095238095235
36,2020-11-24 10:59:57+00:00,inhuman make people shelter less pandemic amp winter shri always stand urban poor fig,-0.18888888888888888
37,2020-11-24 10:59:57+00:00,sheila kenya expand salon business middle pandemic,0.0
38,2020-11-24 10:59:57+00:00,service update service update find please remember wear mask travel us amp station,0.0
39,2020-11-24 10:59:57+00:00,service update half hourly stansted express service runningplease remember wear face cover travel us service update find,-0.16666666666666666
40,2020-11-24 10:59:57+00:00,yes sister poorly week still problem breathe friend son ventilator back home still recover old couple die lockdown hear many other,0.01499999999999999
41,2020-11-24 10:59:57+00:00,hospital parking lot empty constantly lie,-0.05
42,2020-11-24 10:59:57+00:00,frontline worker accuse denver health unionbusting coronavirus put pressure system,0.0
43,2020-11-24 10:59:57+00:00,bank england governor warn nodeal brexit would end cause deep longterm damage uk economy,0.0
44,2020-11-24 10:59:57+00:00,uhabout social distancing midway morning around,0.03333333333333333
