Unnamed: 0,full_text,sentiment_score
0,really hate people country,-0.8
1,big basically one man show boy especially pandemic p do not show,0.0
2,agree store coerce customer require customer wear,0.0
3,least people united states die death toll vietnam war,-0.3
4,unfortunately certain percentage crowd hospitalize fatal complication covid matter time we ve get bed hospital mortality end er could get room that s reality face right,0.25
5,trump skip part pandemic preparedness go golf good do not need useless dumpster fire clown doin,0.09999999999999998
6,nero play golf course,0.0
7,be not talk soviet read article comment hell would anyone compare we coronavirus death last month soviet death world war ii fck even think,0.0
8,joe biden entire election without leave basement andrew cuomo emmy leadership,0.0
9,sexual tension fuck different country start new life pandemic though,0.05909090909090908
10,money come covid relief bill nancys holding,0.0
11,super awkward wfh moment you ve probably experience saturday saturdayvibe saturdaymotivation,-0.13333333333333333
12,meet w pres trump michigan republicansinclude speaker trump hotel bar last,0.0
13,time trump term end dead can not even pretend care n,-0.2
14,city boy biden,0.0
15,city boy biden,0.0
16,new orange man,0.13636363636363635
17,setting low ventilation likely remain air accumulate high concentration well,0.05333333333333334
18,question never ask politely trump say biden say press amp hollywood would poop biden think that s shout listen,0.0
19,fine time become bluestocking member,0.4166666666666667
20,buckle arkansas threadwere see high rate case amp hospitalization pandemic know stro,0.16
21,omgjust day recommend people cancel thanksgiving travel passenger pack tight sky,-0.17857142857142858
22,make call today priest give prayer zoom nurse hold patient hand family isolate,0.0
23,still go to buy covid b,0.0
24,thank god,0.0
25,case continue rise new report national nurse united find hospital still fail provide,-0.18181818181818182
26,two month ago exactly sage call brief national circuit breaker bring covid controlthen,0.125
27,uhhh especially despise friend go international vacation pandemic,0.0
28,vital understand lockdown response work basic epidemiological theory indicate lockdown,0.05
29,whisper softly go to come back matter long lockdown sorry one tell,-0.1125
30,feel weird talk work global pandemic look,-0.25
31,countrywear mask,0.0
32,good bunch millionmoronmarch idiot anyway stay home loserinthewhitehouse supporter,-0.050000000000000044
33,holiday pass,0.0
34,dereliction duty,0.0
35,meanwhile americas billionaire get trillion dollar rich pandemicthis unsustainable,0.375
36,throughout pandemic liam payne do lot thing fan charitable cause one,0.6
37,book free read available book public domain current book vocational book bla,0.22000000000000003
38,trump appear skip sideevent virtual summit focus pandemic preparedness president ar,0.0
39,million lot would equivalent quebec concern,0.0
40,update el paso hire morgue attendant job applicant must strong enough lift deceased bodi,0.2111111111111111
41,least us coronavirus case confirm accord johns hopkins university datum americans ha,-0.3
42,clearly research cocaine prevent infection failure stop right load another rail djt,0.023015873015873007
43,please lock candont wait politician decidewe need take handsif you re,0.0
44,scott baio silver spoon ricky schroeder schroder pillow guy help bail domestic terrorist kyle ritte,0.0
45,may little early thanksgiving would not without wanda amp jamalin go viral,-0.04375
46,sunak million personal fortune say difficult help million excludeduk penny sicne covid beganno moneybillsand suicidessunak could helped ubi sunak chose let people,-0.25
47,excludeduk go pay taxis exclude million break ordeal man,0.0
48,devastating animationcontainment measure case surge hospitalization state hospital alm,-1.0
49,chance they ll investigate thousand nursing home patient nygovcuomo write covid,0.0
50,think rally along trump super spreader help we get point today would shocked find event responsible lion share death infection today seem deliberate,-0.055555555555555546
51,teachers student teacher continue inspire,0.0
52,coronavirus mask markofthebeast illuminati newworldorder evil employment mandate lawsuit toronto ontario,-1.0
53,date pandemic really we go walk date like like ok mr darcy take stroll,0.35
54,president trump follow condition clear monoclonal antibody therapy previously rece,-0.03333333333333332
55,sidemeete today pandemic prep amp response conclude germanys chancellor frances president saudi,0.0
56,business owner buffalo ny demand health inspector leave private property go get warrant people en,0.0
57,people do not get see see intensive care staff urge public stay vigilant rule,0.0
58,trump still president amp mitch mcconnells responsibility look like they re go let amer,0.0
59,scott baio silver spoon ricky schroeder schroder pillow guy help bail domestic terrorist kyle ritte,0.0
60,kill covid mean true,0.01874999999999999
61,holiday come important remain vigilant virus wear mask wash hand pract,0.4
62,I m patrick also asthmatic couple dna change jab well covid reckon would wait awhile see result first,0.25
63,city boy biden,0.0
64,completely brand,0.1
65,city boy biden,0.0
66,relate pandemic affected tendency,0.0
67,listen dr angela raffle expert mass screening bbcinsidescience bmj blog post well worth read concerned spend money mass screening programme expert oversight,0.3
68,trump action admit defeat skip pandemic event golf,0.1
69,president trump follow condition clear monoclonal antibody therapy previously rece,-0.03333333333333332
70,gisa bts deluxe edition review sensitive stunning document pandemic,0.39999999999999997
71,work burn covid fatigue regular battle anxietydepressionit rough,-0.05
72,do not know need hear lockdown prison term free people can not lock slav,0.4
73,ironically synagogue president rmayer zelig rispler openly urge brooklyns orthodox community abid,-0.1
74,santibodie,0.0
75,absolutely devastating heart ache raiden every single person leave behind wake please sta,-0.4904761904761905
76,texas county jail inmate die pretrial detention convict cr,-0.1
77,rump,0.0
