,created_at,full_text,sentiment_score
0,2020-12-28 13:59:54+00:00,relate senior daughter autistic amount support we ve receive zero one penny,-0.2
1,2020-12-28 13:59:54+00:00,new round covid stimulus check come here expect farthis look like,-0.03181818181818183
2,2020-12-28 13:59:54+00:00,china jail citizen journalist zhang zhan year report virus wuhan hunger strike since j,-0.1
3,2020-12-28 13:59:55+00:00,vip testing vip vaccination,0.0
4,2020-12-28 13:59:55+00:00,government shortly hold press conference formally present emergency pandemic law wou,0.0
5,2020-12-28 13:59:55+00:00,case tn today recent timesnumber sample test case case,0.0
6,2020-12-28 13:59:55+00:00,break everyone die covid,0.0
7,2020-12-28 13:59:55+00:00,tell friend soap dope literally destroy coronavirus,-0.2
8,2020-12-28 13:59:55+00:00,amu kozzy chesa nyamas must br treat like restaurant least purpose lockdown protocol patron open air do not justify different treatment,-0.09999999999999999
9,2020-12-28 13:59:55+00:00,I ve come back twitter break address england wales alone covid de,0.0
10,2020-12-28 13:59:55+00:00,tier lockdown england,0.0
11,2020-12-28 13:59:55+00:00,would u say avoid covid vaccine,0.0
12,2020-12-28 13:59:55+00:00,trump want kidnapper hero covid relief hostage negotiation wapo reporter,0.0
13,2020-12-28 13:59:55+00:00,new yorker devote nearly entire issue something magazine do handful time history,0.06818181818181818
14,2020-12-28 13:59:55+00:00,dear gtfopack insidious virusyour endless quarantinesmad despot machinationsblack man execution,-0.125
15,2020-12-28 13:59:55+00:00,two uk lineage one south african lineage virus detect finland travelle,0.0
16,2020-12-28 13:59:55+00:00,heryou well entertaining hoe we drummer dance funny joke comedy like retweet musician waytooearly snow tiktok asktwitter coronavirus,0.375
17,2020-12-28 13:59:55+00:00,fauci say alter public scientific estimate base opinion poll news,-0.4
18,2020-12-28 13:59:55+00:00,get covid relief money like pull tooth without anesthesia,0.0
19,2020-12-28 13:59:55+00:00,racism pandemic us election prove live peculiar era people getting divide base belief political view event call collective action show we wait well world unless we,-0.14090909090909093
20,2020-12-28 13:59:55+00:00,fox news america trouble,-0.2
21,2020-12-28 13:59:55+00:00,chinese communist party evil reporter jail force feed via feed tube amp arm restrain crime reporti,-0.3666666666666667
22,2020-12-28 13:59:55+00:00,fuck super gonorrhea,-0.033333333333333354
23,2020-12-28 13:59:55+00:00,need job new dangerous strain push covid wrap tv,-0.2318181818181818
24,2020-12-28 13:59:56+00:00,late alcopoptvculture thank,-0.3
25,2020-12-28 13:59:56+00:00,school essential children wellbee face almost risk covid domestic violence neglect sexual ab,0.16666666666666666
26,2020-12-28 13:59:56+00:00,pretending be not go anywhere call lockdown uttmnnnaa iruuuuuuttmnnn maatiri nttikkaa,0.0
27,2020-12-28 13:59:56+00:00,rubio mock fauci vaccination claim public health expert trick public pandemic meanwhil,0.0
28,2020-12-28 13:59:56+00:00,astrazenecas vaccine expect work south africas new covid variant say ceo httpstconwyggga,0.13636363636363635
29,2020-12-28 13:59:56+00:00,art deal,0.0
30,2020-12-28 13:59:56+00:00,btw finally get apology cdcjust directly person blackball would take call,0.05
31,2020-12-28 13:59:56+00:00,possibility philippines revert ecq new strain coronavirus spread give anxiety god pls noo,0.13636363636363635
32,2020-12-28 13:59:56+00:00,mcconnell praise trump signing government funding,0.0
33,2020-12-28 13:59:56+00:00,sa air operator reduce price much route long wbay ondangwa co,0.07500000000000001
34,2020-12-28 13:59:56+00:00,china sentence zhang zhan year prison china would like world forget pandemic start wuh,0.0
35,2020-12-28 13:59:56+00:00,trump say sign covid relief package statement include kind lie would hear photo op one,0.6
36,2020-12-28 13:59:56+00:00,journo information year old covid death gladys bl compress mouth hold back word,0.05
37,2020-12-28 13:59:56+00:00,already pretty strong trend toward online retail canadian amazon retailer make lot money pandemic remember read lot nail coffin story news retail zeller sear target toys r us retail landscape change,0.3416666666666667
38,2020-12-28 13:59:56+00:00,honestly pandemic aside really year start rough rest amazing many great thing happen I m grateful,0.4333333333333334
39,2020-12-28 13:59:56+00:00,mutual follow arsehole favour unfollow,0.0
40,2020-12-28 13:59:56+00:00,pretending be not go anywhere call lockdown uttmnnnaa iruuuuuuttmnnn maatiri nttikkaa,0.0
41,2020-12-28 13:59:57+00:00,batch b stream ii member wait patiently line protocol still report january promise unilag fpl nysc,0.0
